top	left	bottom	right	slug	name	iso	woeid
38.4740084908	69.9985494318	35.4424105901	74.8922042176	2344549	Badakhshan	AF	2344549
36.0319870066	62.6517627296	34.5093667669	65.0473271012	2344550	Badghis	AF	2344550
36.5712047385	68.0052344095	35.0067007508	69.9610323421	2344551	Baghlan	AF	2344551
35.4696182314	66.3306079445	33.9379287785	68.2826851749	2344552	Bamian	AF	2344552
33.5166883412	60.5612960142	31.389040432	64.7384053891	2344553	Farah	AF	2344553
37.2423265655	63.8873979019	35.186999824	65.8166858251	2344554	Faryab	AF	2344554
34.223	66.85	32.055	68.797	2344555	Ghazni	AF	2344555
35.269733792	63.0707552431	33.12257803	66.7740950866	2344556	Ghowr	AF	2344556
33.3658965109	62.6026701186	29.386914578	65.3621916035	2344557	Helmand	AF	2344557
35.6312621116	60.4865202171	32.782056179	64.4825036966	2344558	Herat	AF	2344558
34.895389716	68.8400671734	34.1431358914	69.9290446305	2344559	Kabul	AF	2344559
35.181883857	69.2783866716	34.6392813179	69.916177199	2344560	Kapisa	AF	2344560
35.4642955588	70.5744315936	34.53104503	71.6378292174	2344561	Konar	AF	2344561
35.2357823757	69.7968563173	34.402758287	70.6201652367	2344562	Laghman	AF	2344562
34.3640784772	68.7118579447	33.6024195418	69.8975736838	2344563	Lowgar	AF	2344563
34.8002017276	69.4792012879	33.9390139841	71.1261808612	2344564	Nangarhar	AF	2344564
32.2531478947	60.8441728049	29.4081019148	63.5696395197	2344565	Nimruz	AF	2344565
34.406944078	65.2190995626	33.0602304148	67.3831535175	2344566	Oruzgan	AF	2344566
34.0784886747	68.7688053729	33.15314464	69.9964823752	2344567	Paktia	AF	2344567
35.4201122093	68.1839831891	34.5883025174	69.6151103051	2344568	Parvan	AF	2344568
32.5752212591	64.4995052432	29.5404194201	67.7749642272	2344569	Kandahar	AF	2344569
37.331	68.029	36.322	69.336	2344570	Konduz	AF	2344570
37.6185051542	69.1471285335	35.7914073758	70.4775899598	2344571	Takhar	AF	2344571
34.773	67.249	33.649	68.987	2344572	Vardak	AF	2344572
33.0651655138	66.1820898782	31.5443281117	68.0980969579	2344573	Zabol	AF	2344573
33.4195108097	67.8151168153	31.6028775094	69.4869527524	2344574	Paktika	AF	2344574
37.387	66.437	35.606	68.127	2344575	Balkh	AF	2344575
37.5787401397	65.1017940615	35.9095397001	66.5689396505	2344576	Jowzjan	AF	2344576
36.6479442412	66.8346081891	35.35246776	68.5314038428	2344577	Samangan	AF	2344577
36.5876895212	65.4055998066	34.784362901	67.0260693705	2344578	Sare Pol	AF	2344578
36.068	70.001	34.898	71.62	24549937	Nurestan	AF	24549937
33.481	69.819	33.208	70.158	24550741	Khowst	AF	24550741
34.396	65.229	33.074	67.381	56000466	Daykundi	AF	56000466
35.905	69.023	35.042	70.349	56000467	Panjshir	AF	56000467
