top	left	bottom	right	slug	name	iso	woeid
18.613	-63.435	18.15	-63.122	24549647	West End	AI	24549647
18.267	-63.15	18.175	-63.083	24549648	Blowing Point	AI	24549648
18.204	-63.1	18.184	-63.06	24549649	South Hill	AI	24549649
18.223	-63.102	18.195	-63.069	24549650	Sandy Ground	AI	24549650
18.26	-63.074	18.227	-63.041	24549651	North Hill	AI	24549651
18.267	-63.047	18.232	-63.015	24549652	North Side	AI	24549652
18.303	-63.016	18.249	-62.916	24549653	Island Harbour	AI	24549653
18.254	-63.016	18.23	-62.966	24549654	East End	AI	24549654
18.254	-63.03	18.229	-63.007	24549655	Sandy Hill	AI	24549655
18.239	-63.036	18.218	-63.013	24549656	Stoney Ground	AI	24549656
18.242	-63.074	18.223	-63.036	24549657	George Hill	AI	24549657
18.232	-63.036	18.218	-63.02	24549658	The Farrington	AI	24549658
18.232	-63.074	18.201	-63.036	24549659	The Valley	AI	24549659
18.219	-63.065	18.198	-63.018	24549660	The Quarter	AI	24549660
