top	left	bottom	right	slug	name	iso	woeid
40.881690986	19.7303515968	40.3552631703	20.442607863	29389554	Berat	AL	29389554
41.912	19.785	41.276	20.575	29389555	Diber	AL	29389555
41.705	19.393	41.165	19.944	29389556	Durrës	AL	29389556
41.3886884632	19.6692183776	40.7156804467	20.602391392	29389557	Elbasan	AL	29389557
41.069	19.304	40.413	19.919	29389558	Fier	AL	29389558
40.512	19.768	39.786	20.62	29389559	Gjirokaster	AL	29389559
41.088	20.312	40.083	21.058	29389560	Korcë	AL	29389560
42.559	19.811	41.822	20.63	29389561	Kukes	AL	29389561
42.043	19.547	41.506	20.28	29389562	Lezhe	AL	29389562
42.661	19.282	41.83	20.248	29389563	Shkodër	AL	29389563
41.511	19.437	41.0	20.255	29389564	Tiranë	AL	29389564
40.665	19.29	39.644	20.327	29389565	Vlorë	AL	29389565
