top	left	bottom	right	slug	name	iso	woeid
41.2907616237	44.7518734071	40.6376490346	45.6007621599	20070202	Tavush	AM	20070202
41.164929511	43.4360880874	40.4093167177	44.1996073748	20070203	Shirak	AM	20070203
40.766	44.828	39.947	45.977	20070204	Geghark'unik'	AM	20070204
39.9990575224	45.0750061378	39.4878742541	45.8091215351	20070205	Vayots' Dzor	AM	20070205
39.8512370872	45.701221144	38.8639846869	46.6023030941	20070206	Syunik'	AM	20070206
41.244	43.991	40.651	44.978	20070207	Lorri	AM	20070207
40.6996865914	44.4083284852	40.0832901072	45.0297892596	20070208	Kotayk'	AM	20070208
40.7428880889	43.5939595886	40.1851701928	44.5532808771	20070209	Aragatsotn	AM	20070209
40.2849315458	43.6523539567	40.0089793972	44.4404712255	20070210	Armavir	AM	20070210
40.1649905464	44.3512260274	39.703132433	45.1095259949	20070211	Ararat	AM	20070211
40.276	44.436	40.089	44.675	20070212	Yerevan	AM	20070212
