top	left	bottom	right	slug	name	iso	woeid
-11.767	12.529	-13.954	15.096	2344656	Benguela	AO	2344656
-10.572	15.696	-14.306	19.27	2344657	Bie	AO	2344657
-4.373	12.013	-5.769	13.11	2344658	Cabinda	AO	2344658
-13.5723495421	16.4617655781	-18.0311988262	23.3818599793	2344659	Cuando Cubango	AO	2344659
-7.93408904347	14.0740043478	-9.78172820429	15.8175671725	2344660	Cuanza Norte	AO	2344660
-9.67331104927	13.4891821631	-12.2059729956	16.6115755547	2344661	Cuanza Sul	AO	2344661
-15.1506511372	13.1445003596	-17.4233806287	17.4174695164	2344662	Cunene	AO	2344662
-11.416	14.799	-13.762	16.597	2344663	Huambo	AO	2344663
-13.295	13.145	-16.352	16.753	2344664	Huila	AO	2344664
-8.682	12.993	-9.345	13.623	2344665	Luanda	AO	2344665
-7.326	15.085	-11.743	18.847	2344666	Malanje	AO	2344666
-13.506	11.679	-17.269	13.683	2344667	Namibe	AO	2344667
-10.5887073707	17.9452409192	-16.1979257136	24.0613533874	2344668	Moxico	AO	2344668
-5.865	13.824	-8.429	17.117	2344669	Uige	AO	2344669
-5.84134856498	12.2514799333	-7.79265064901	14.9676448909	2344670	Zaire	AO	2344670
-6.9157532692	17.3333919613	-10.4163664685	21.9201404147	2344671	Lunda Norte	AO	2344671
-8.33210092492	18.4512565446	-11.4748031549	22.3130363301	2344672	Lunda Sul	AO	2344672
-7.6198446588	13.0958211607	-10.4390007461	14.7182544285	2344673	Bengo	AO	2344673
