top	left	bottom	right	slug	name	iso	woeid
-33.26	-63.394	-41.036	-56.666	2344675	Buenos Aires	AR	2344675
-25.154	-69.086	-30.122	-64.825	2344676	Catamarca	AR	2344676
-24.1206462545	-63.398579475	-28.0026832008	-58.3517299055	2344677	Chaco	AR	2344677
-41.999038181	-72.1491822982	-46.0000342747	-63.5791886056	2344678	Chubut	AR	2344678
-29.503	-65.772	-34.999	-61.778	2344679	Córdoba	AR	2344679
-27.248	-59.689	-30.768	-55.618	2344680	Corrientes	AR	2344680
-33.2565743958	-63.3888126289	-41.0448845354	-56.6647269354	2344681	Ciudad de Buenos Aires	AR	2344681
-30.8432333313	-56.1882185529	-32.1228451475	-54.4675742258	2344682	Entre Rios	AR	2344682
-22.463	-62.348	-26.872	-57.555	2344683	Formosa	AR	2344683
-21.7866801901	-67.2519876775	-24.6139494771	-64.158765632	2344684	Jujuy	AR	2344684
-35.0004989557	-68.2931902733	-39.3257646625	-63.3840583971	2344685	La Pampa	AR	2344685
-27.711	-69.641	-32.003	-65.414	2344686	La Rioja	AR	2344686
-31.968	-70.579	-37.578	-66.502	2344687	Mendoza	AR	2344687
-25.4944642063	-56.0190557523	-28.1475839168	-53.6621195136	2344688	Misiones	AR	2344688
-36.103	-71.947	-41.096	-68.013	2344689	Neuquén	AR	2344689
-37.578	-71.893	-42.007	-62.788	2344690	Rio Negro	AR	2344690
-22.003	-68.577	-26.398	-62.341	2344691	Salta	AR	2344691
-28.377	-70.562	-32.632	-66.715	2344692	San Juan	AR	2344692
-31.868	-67.388	-35.999	-64.881	2344693	San Luis	AR	2344693
-45.9994141579	-73.5886551579	-52.3852776021	-65.7305043202	2344694	Santa Cruz	AR	2344694
-27.995	-62.889	-34.384	-58.871	2344695	Santa Fe	AR	2344695
-25.652	-65.187	-30.479	-61.709	2344696	Santiago del Estero	AR	2344696
-52.6392155898	-68.6424712799	-55.0519882136	-63.811965095	2344697	Tierra del Fuego Antartida e Islas Del Atlantico Sur	AR	2344697
-26.058	-66.162	-28.003	-64.478	2344698	Tucumán	AR	2344698
