top	left	bottom	right	slug	name	iso	woeid
-12.142	122.932	-12.561	123.539	23424749	Ashmore and Cartier Islands	AU	23424749
-16.02	149.128	-17.728	152.115	23424790	Coral Sea Islands	AU	23424790
-35.1395085592	148.769451939	-35.9196159811	149.404400262	2344699	Australian Capital Territory	AU	2344699
-28.1490308567	141.00010705	-37.5103715957	153.630963983	2344700	New South Wales	AU	2344700
-10.9682190897	129.000116001	-25.9999113908	138.000186802	2344701	Northern Territory	AU	2344701
-10.0502389459	138.000186802	-29.1706222469	153.549005162	2344702	Queensland	AU	2344702
-25.996	129.001	-38.061	141.003	2344703	South Australia	AU	2344703
-39.5714344219	143.837453241	-43.6413151992	148.484869827	2344704	Tasmania	AU	2344704
-33.9864523252	140.967085809	-39.1449488254	149.972272577	2344705	Victoria	AU	2344705
-13.7234514298	112.90714481	-35.1378549128	129.000116001	2344706	Western Australia	AU	2344706
