top	left	bottom	right	slug	name	iso	woeid
60.666	20.474	60.139	21.144	12590629	Brändö	AX	12590629
60.407	19.263	60.143	19.678	12590630	Eckerö	AX	12590630
60.375	19.799	60.18	20.02	12590631	Finström	AX	12590631
60.144	20.079	59.779	20.772	12590632	Föglö	AX	12590632
60.496	19.695	60.321	19.974	12590633	Geta	AX	12590633
60.425	19.55	60.117	19.849	12590634	Hammarland	AX	12590634
60.211	19.693	60.026	20.065	12590635	Jomala	AX	12590635
60.058	20.645	59.736	21.324	12590636	Kökar	AX	12590636
60.512	20.425	60.116	20.983	12590637	Kumlinge	AX	12590637
60.113	19.782	59.808	20.237	12590638	Lemland	AX	12590638
60.169	20.2	60.051	20.325	12590639	Lumparland	AX	12590639
60.129	19.914	60.048	19.965	12590640	Mariehamn	AX	12590640
60.54	19.924	60.232	20.338	12590641	Saltvik	AX	12590641
60.209	20.514	59.91	20.994	12590642	Sottunga	AX	12590642
60.315	20.02	60.172	20.287	12590643	Sund	AX	12590643
60.456	20.222	60.103	20.607	12590644	Vårdö	AX	12590644
