top	left	bottom	right	slug	name	iso	woeid
40.79	47.211	40.309	47.622	20070213	Agdas	AZ	20070213
40.224	47.116	39.728	47.605	20070214	Agcabadi	AZ	20070214
40.789	48.108	40.297	48.619	20070215	Agsu	AZ	20070215
39.937	48.893	39.914	48.941	20070216	Ali Bayramli	AZ	20070216
38.639	48.536	38.397	48.88	20070217	Astara	AZ	20070217
40.593	49.239	39.681	50.608	20070218	Baki	AZ	20070218
40.556	46.983	40.146	47.506	20070219	Barda	AZ	20070219
41.906	46.248	41.564	46.676	20070220	Balakan	AZ	20070220
41.885	48.484	41.331	48.98	20070221	Xacmaz	AZ	20070221
40.597	45.71	40.293	46.188	20070222	Daskasan	AZ	20070222
39.374	48.13	39.025	48.692	20070223	Calilabad	AZ	20070223
39.524	46.725	39.133	47.298	20070224	Cabrayil	AZ	20070224
39.755	47.017	39.366	47.608	20070225	Fuzuli	AZ	20070225
40.718	47.607	40.408	48.045	20070226	Goycay	AZ	20070226
40.172	47.824	39.51	48.345	20070227	Imisli	AZ	20070227
41.058	47.812	40.558	48.509	20070228	Ismayilli	AZ	20070228
41.587	46.646	41.058	47.196	20070229	Qax	AZ	20070229
40.772	45.355	40.36	45.889	20070230	Gadabay	AZ	20070230
40.738	46.297	40.614	46.433	20070231	Ganca	AZ	20070231
41.527	47.936	40.88	48.836	20070232	Quba	AZ	20070232
39.508	46.387	39.119	46.818	20070233	Qubadli	AZ	20070233
41.812	47.896	41.224	48.588	20070234	Qusar	AZ	20070234
41.256	47.547	40.64	48.023	20070235	Qabala	AZ	20070235
40.574	47.912	40.044	48.48	20070236	Kurdamir	AZ	20070236
39.982	46.038	39.443	46.789	20070237	Lacin	AZ	20070237
38.979	48.251	38.506	48.735	20070238	Lerik	AZ	20070238
39.228	48.477	38.85	48.868	20070239	Masalli	AZ	20070239
40.86	46.972	40.688	47.134	20070240	Mingacevir	AZ	20070240
39.616	48.647	39.147	49.439	20070241	Neftcala	AZ	20070241
39.682	48.185	39.293	48.733	20070242	Bilasuvar	AZ	20070242
40.036	48.161	39.574	48.771	20070243	Saatli	AZ	20070243
41.101	45.705	40.567	46.296	20070244	Samkir	AZ	20070244
41.457	46.785	40.754	47.575	20070245	Saki	AZ	20070245
41.224	47.152	41.144	47.221	20070246	Saki	AZ	20070246
40.669	49.479	40.546	49.757	20070247	Sumqayit	AZ	20070247
41.253	45.433	40.575	46.053	20070248	Tovuz	AZ	20070248
40.541	47.426	40.24	48.011	20070249	Ucar	AZ	20070249
41.276	47.304	40.695	47.696	20070250	Oguz	AZ	20070250
39.062	48.009	38.711	48.501	20070251	Yardimli	AZ	20070251
40.9659752467	46.7311841164	40.4157245959	47.2628312519	20070252	Yevlax	AZ	20070252
40.646	47.082	40.552	47.201	20070253	Yevlax	AZ	20070253
41.863	46.306	41.352	47.013	20070254	Zaqatala	AZ	20070254
39.25	46.438	38.873	46.865	20070255	Zangilan	AZ	20070255
40.422	47.439	39.995	47.95	20070256	Zardab	AZ	20070256
40.107	47.456	39.539	47.946	20070257	Beylaqan	AZ	20070257
40.219	46.733	39.85	47.217	20070258	Agdam	AZ	20070258
39.897	46.665	39.39	47.35	20070259	Xocavand	AZ	20070259
40.52	46.789	40.486	46.845	20070260	Naftalan	AZ	20070260
40.91	46.335	40.255	46.98	20070261	Goranboy	AZ	20070261
38.753	48.834	38.737	48.854	20070262	Lankaran	AZ	20070262
39.304	48.528	38.575	49.235	20070263	Lankaran	AZ	20070263
39.78	46.73	39.751	46.767	20070264	Susa	AZ	20070264
39.778657538	46.5265971211	39.5887983262	46.7893717789	20070265	Susa	AZ	20070265
41.468	45.091	40.968	45.74	20070266	Agstafa	AZ	20070266
41.333	45.004	40.964	45.437	20070267	Qazax	AZ	20070267
40.732	46.065	40.29	46.493	20070268	Xanlar	AZ	20070268
41.20043122	46.0871407404	40.6734349636	46.7597095073	20070269	Samux	AZ	20070269
40.989	48.443	40.203	48.86	20070270	Samaxi	AZ	20070270
41.013	48.704	40.517	49.551	20070271	Xizi	AZ	20070271
40.751	48.689	40.271	49.217	20070272	Qobustan	AZ	20070272
40.346	45.579	39.724	46.784	20070273	Kalbacar	AZ	20070273
40.502	46.491	40.097	47.114	20070274	Tartar	AZ	20070274
39.59	45.129	39.148	45.564	20070275	Naxcivan	AZ	20070275
39.868	46.751	39.841	46.785	20070276	Xankandi	AZ	20070276
40.048	46.525	39.609	47.0	20070277	Xocali	AZ	20070277
41.277	48.869	40.878	49.31	20070278	Siyazan	AZ	20070278
41.471	48.732	40.872	49.123	20070279	Davaci	AZ	20070279
39.934	48.726	39.315	49.417	20070280	Salyan	AZ	20070280
40.14	48.262	39.561	49.042	20070281	Sabirabad	AZ	20070281
40.292	48.461	39.922	49.308	20070282	Haciqabul	AZ	20070282
40.579	48.785	40.021	49.897	20070283	Abseron	AZ	20070283
39.607	45.391	39.264	45.84	24550718	Shakhbuz	AZ	24550718
39.324	45.761	38.82	46.151	24550719	Ordubad	AZ	24550719
39.786	44.772	39.288	45.311	24550720	Sarur	AZ	24550720
39.366	45.519	38.918	45.944	24550721	Culfa	AZ	24550721
39.163	45.362	38.957	45.554	24550722	Babek	AZ	24550722
