top	left	bottom	right	slug	name	iso	woeid
13.1294314642	-59.6002841862	13.0511416688	-59.475769823	2344730	Christ Church	BB	2344730
13.2896800804	-59.6060461083	13.2098399931	-59.5458430651	2344731	Saint Andrew	BB	2344731
13.1825031597	-59.5871066963	13.1081924506	-59.5087135481	2344732	Saint George	BB	2344732
13.2449282901	-59.6507720611	13.1364077823	-59.601033495	2344733	Saint James	BB	2344733
13.2175397807	-59.5402103341	13.1457612163	-59.4676824609	2344734	Saint John	BB	2344734
13.2437914085	-59.5809830389	13.1800743678	-59.5179894677	2344735	Saint Joseph	BB	2344735
13.3445604519	-59.6541827049	13.2738670922	-59.5758929103	2344736	Saint Lucy	BB	2344736
13.161315823	-59.640540127	13.0841112331	-59.568839077	2344737	Saint Michael	BB	2344737
13.3044078638	-59.6528907946	13.2372285016	-59.5689424306	2344738	Saint Peter	BB	2344738
13.186533922	-59.5131060447	13.0864883491	-59.4268839177	2344739	Saint Philip	BB	2344739
13.2170230168	-59.6252955796	13.1502570666	-59.5542921616	2344740	Saint Thomas	BB	2344740
