top	left	bottom	right	slug	name	iso	woeid
50.807	4.091	50.525	5.02	22525997	Brabant Wallon	BE	22525997
51.05	3.889	50.687	5.188	22525998	Vlaams Brabant	BE	22525998
50.914	4.244	50.764	4.482	55965974	Région de Bruxelles-Capitale	BE	55965974
50.811	2.842	49.942	4.617	7153299	Hainaut	BE	7153299
50.812	4.98	50.13	6.408	7153300	Liège	BE	7153300
51.3	4.98	50.695	5.911	7153301	Limburg	BE	7153301
50.431	4.969	49.497	6.034	7153302	Luxembourg	BE	7153302
50.648	4.286	49.786	5.403	7153303	Namur	BE	7153303
51.353	3.331	50.721	4.33	7153304	Oost-Vlaanderen	BE	7153304
51.37	2.546	50.708	3.523	7153305	West-Vlaanderen	BE	7153305
51.505	4.172	50.99	5.263	7153308	Antwerpen	BE	7153308
