top	left	bottom	right	slug	name	iso	woeid
42.896	23.052	42.412	23.679	20069794	Sofiya-Grad	BG	20069794
43.037	25.807	42.245	26.711	20070049	Sliven	BG	20070049
44.008	27.197	43.319	28.609	20070050	Dobrich	BG	20070050
43.59	27.061	42.826	28.063	20070051	Varna	BG	20070051
43.72	26.548	42.899	27.423	20070052	Shumen	BG	20070052
41.903	25.0	41.236	25.955	20070053	Kurdzhali	BG	20070053
42.808	25.002	42.017	26.191	20070054	Stara Zagora	BG	20070054
44.227	22.357	43.386	23.059	20070055	Vidin	BG	20070055
43.852	22.747	43.11	23.641	20070056	Montana	BG	20070056
43.804	23.315	42.995	24.323	20070057	Vratsa	BG	20070057
42.896	22.441	42.36	23.299	20070058	Pernik	BG	20070058
42.645	22.36	42.02	23.529	20070059	Kyustendil	BG	20070059
42.184	22.864	41.317	24.115	20070060	Blagoevgrad	BG	20070060
43.1949348007	22.7391085144	42.0841240508	24.4729561708	20070061	Sofiya	BG	20070061
43.195	24.866	42.737	25.635	20070062	Gabrovo	BG	20070062
43.655	25.075	42.779	26.173	20070063	Veliko Turnovo	BG	20070063
43.38	23.959	42.709	25.149	20070064	Lovech	BG	20070064
43.763	23.952	43.202	25.295	20070065	Pleven	BG	20070065
42.629	23.755	41.668	24.54	20070066	Pazardzhik	BG	20070066
41.936	24.057	41.309	25.182	20070067	Smolyan	BG	20070067
42.794	24.358	41.682	25.35	20070068	Plovdiv	BG	20070068
44.036	25.46	43.313	26.538	20070069	Ruse	BG	20070069
44.145	26.35	43.663	27.696	20070070	Silistra	BG	20070070
43.951	26.155	43.327	27.034	20070071	Razgrad	BG	20070071
43.557	25.945	42.952	26.8	20070072	Turgovishte	BG	20070072
42.208	25.212	41.318	26.583	20070073	Khaskovo	BG	20070073
42.698	26.164	41.925	27.06	20070074	Yambol	BG	20070074
42.988	26.577	41.904	28.034	20070075	Burgas	BG	20070075
