top	left	bottom	right	slug	name	iso	woeid
-3.2571652159	29.2062073098	-3.72948780642	29.6042191913	2344900	Bujumbura Mairie	BI	2344900
-3.09076710392	29.5230871928	-3.71589690542	29.8871993348	2344901	Muramvya	BI	2344901
-2.91103647246	29.2136487159	-3.3110637346	29.5587439306	2344902	Bubanza	BI	2344902
-3.54634653117	29.2060006042	-4.18909799598	29.9283337748	2344903	Bururi	BI	2344903
-2.89889251048	30.2889319193	-3.38310068145	30.8334981622	2344904	Cankuzo	BI	2344904
-2.592	28.993	-3.101	29.477	2344905	Cibitoke	BI	2344905
-3.05846933309	29.7260722186	-3.83196217212	30.1057906431	2344906	Gitega	BI	2344906
-2.904	29.89	-3.39	30.351	2344907	Karuzi	BI	2344907
-2.7875814756	29.4446423687	-3.20032114051	29.8780009295	2344908	Kayanza	BI	2344908
-2.31655079538	29.9032190285	-2.78096689181	30.4261845236	2344909	Kirundo	BI	2344909
-3.94270476621	29.3667143084	-4.46329314536	30.1753471213	2344910	Makamba	BI	2344910
-2.30295989348	30.0780920754	-3.14507903377	30.5540320171	2344911	Muyinga	BI	2344911
-2.653	29.628	-3.087	30.184	2344912	Ngozi	BI	2344912
-3.63585011169	29.8816182798	-4.13550953564	30.3845333188	2344913	Rutana	BI	2344913
-3.1851799459	30.0380945169	-3.70432138422	30.6400216001	2344914	Ruyigi	BI	2344914
-3.236	29.204	-3.72	29.592	56017453	Bujumbura Rural	BI	56017453
-3.307	29.56	-3.723	29.868	56017454	Mwaro	BI	56017454
