top	left	bottom	right	slug	name	iso	woeid
32.386	-64.687	32.381	-64.679	20069917	Saint George	BM	20069917
32.299	-64.802	32.29	-64.786	20069918	Hamilton	BM	20069918
32.315	-64.784	32.291	-64.752	2344751	Devonshire	BM	2344751
32.312	-64.84	32.281	-64.776	2344753	Pembroke	BM	2344753
32.294	-64.814	32.268	-64.764	2344754	Paget	BM	2344754
32.394	-64.751	32.323	-64.654	2344755	Saint George's	BM	2344755
32.334	-64.892	32.281	-64.84	2344756	Sandys	BM	2344756
32.324	-64.76	32.299	-64.715	2344757	Smith's	BM	2344757
32.288	-64.896	32.247	-64.821	2344758	Southampton	BM	2344758
32.279	-64.842	32.255	-64.793	2344759	Warwick	BM	2344759
