top	left	bottom	right	slug	name	iso	woeid
25.785	-79.308	25.366	-79.2	2344769	Bimini	BS	2344769
24.694	-75.961	24.113	-75.292	2344770	Cat Island	BS	2344770
24.9	-76.834	23.389	-75.433	2344771	Exuma	BS	2344771
21.702	-73.855	20.916	-72.915	2344772	Inagua	BS	2344772
23.691	-75.346	22.853	-74.825	2344773	Long Island	BS	2344773
22.458	-73.167	22.283	-72.65	2344774	Mayaguana	BS	2344774
23.02	-75.9	21.7	-75.2	2344775	Ragged Island	BS	2344775
25.523	-76.639	25.477	-76.625	2344776	Harbour Island	BS	2344776
25.2	-77.601	24.973	-76.766	2344777	New Providence	BS	2344777
23.109	-74.534	22.083	-73.463	2344778	Acklins	BS	2344778
26.924	-78.764	26.49	-78.045	2344779	City of Freeport	BS	2344779
24.167	-75.134	23.814	-73.25	2344789	San Salvador	BS	2344789
22.844	-74.383	22.416	-74.006	24551238	Crooked Island	BS	24551238
26.558	-77.002	26.436	-76.946	24551240	Hope Town	BS	24551240
25.827	-78.034	25.386	-77.7	24551241	Berry Islands	BS	24551241
26.721	-77.378	26.151	-76.966	24551242	Central Abaco	BS	24551242
25.091	-80.499	23.501	-77.7	24551243	Central Andros	BS	24551243
25.5	-76.61	24.953	-76.1	24551244	Central Eleuthera	BS	24551244
26.784	-78.096	26.416	-77.766	24551245	East Grand Bahama	BS	24551245
27.934	-78.401	26.948	-77.766	24551246	Grand Cay	BS	24551246
24.302	-77.932	24.002	-77.616	24551247	Mangrove Cay	BS	24551247
26.335	-77.583	26.073	-77.519	24551248	Moore's Island	BS	24551248
27.017	-77.961	26.564	-77.264	24551249	North Abaco	BS	24551249
25.327	-78.239	25.026	-77.883	24551250	North Andros	BS	24551250
25.563	-76.886	25.316	-76.606	24551251	North Eleuthera	BS	24551251
23.72	-74.95	23.64	-74.784	24551252	Rum Cay	BS	24551252
26.152	-77.403	25.848	-77.169	24551253	South Abaco	BS	24551253
24.214	-77.85	23.583	-77.158	24551254	South Andros	BS	24551254
24.957	-76.342	24.627	-76.136	24551255	South Eleuthera	BS	24551255
24.419	-77.99	24.154	-77.68	24551256	Spanish Wells	BS	24551256
26.817	-79.034	26.509	-78.741	24551257	West Grand Bahama	BS	24551257
24.117	-76.414	23.974	-76.316	24551258	Black Point	BS	24551258
