top	left	bottom	right	slug	name	iso	woeid
28.0906112736	90.4274833512	27.3261618111	90.980937941	2344872	Bumthang	BT	2344872
27.3069898542	89.2672440935	26.7012387152	89.7822514177	2344873	Chhukha	BT	2344873
27.1767394064	90.0025997252	26.8090874294	90.3315718933	2344874	Chirang	BT	2344874
27.2718240419	89.6235014183	26.7991913922	90.065283238	2344875	Daga	BT	2344875
27.2093213972	89.7358459819	26.6964328065	90.9578385764	2344876	Geylegphug	BT	2344876
27.621	88.962	27.089	89.407	2344877	Ha	BT	2344877
28.0916964792	90.7277234228	27.3804995794	91.4367240739	2344878	Lhuntshi	BT	2344878
27.478	90.895	26.988	91.48	2344879	Mongar	BT	2344879
27.7491592476	89.1038432151	27.1851885037	89.5315173681	2344880	Paro	BT	2344880
27.162890123	91.184233026	26.8397832298	91.4967720884	2344881	Pemagatsel	BT	2344881
27.8535198028	89.6083085468	27.5196642116	90.0363961119	2344882	Punakha	BT	2344882
27.2806090361	88.7298091983	26.8108702661	89.368891636	2344883	Samchi	BT	2344883
27.163	91.098	26.77	92.115	2344884	Samdrup	BT	2344884
27.3780966251	90.516831903	26.7791667754	91.184233026	2344885	Shemgang	BT	2344885
27.4727161726	91.3795182642	27.0099278833	92.0885705912	2344886	Tashigang	BT	2344886
27.990643215	89.1819779809	27.1385505231	89.8165645692	2344887	Thimphu	BT	2344887
27.7762376977	90.2381409033	27.1256830916	90.7241577494	2344888	Tongsa	BT	2344888
28.0681061873	89.6906807796	27.1032296821	90.4923372743	2344889	Wangdue Phodrang	BT	2344889
28.3209331328	89.417054071	27.7152853456	90.4096033063	55967862	Gasa	BT	55967862
27.9896096871	91.2971977073	27.369259955	91.7270939475	55967863	Tashi Yangtse	BT	55967863
