top	left	bottom	right	slug	name	iso	woeid
83.1165807155	-120.680819465	51.9187433947	-61.0852839834	20069920	Nunavut	CA	20069920
60.0000589054	-120.001015998	48.9929013131	-109.999352587	2344915	Alberta	CA	2344915
60.0	-139.049	48.309	-114.052	2344916	British Columbia	CA	2344916
60.0000589054	-102.001597867	48.9930563419	-88.9467358056	2344917	Manitoba	CA	2344917
48.075	-69.054	44.596	-63.765	2344918	New Brunswick	CA	2344918
60.307	-67.816	46.607	-52.62	2344919	Newfoundland and Labrador	CA	2344919
78.7664586457	-136.445386929	60.0000589054	-101.986585863	2344920	Northwest Territories	CA	2344920
47.226	-66.397	43.383	-59.659	2344921	Nova Scotia	CA	2344921
47.0349071319	-66.3275996572	43.4221560735	-59.6886250476	2344922	Ontario	CA	2344922
47.0674632842	-64.4166568668	45.9508389353	-61.9768574689	2344923	Prince Edward Island	CA	2344923
62.585	-79.765	44.992	-57.097	2344924	Québec	CA	2344924
60.0000589054	-109.999972704	48.9929788275	-101.36437578	2344925	Saskatchewan	CA	2344925
69.6543016627	-141.00640052	60.0000589054	-123.81910336	2344926	Yukon Territory	CA	2344926
