top	left	bottom	right	slug	name	iso	woeid
-1.66666798284	26.8212366066	-4.99995289511	29.4106392755	20069829	Sud-Kivu	CD	20069829
0.960613511904	27.2059159685	-2.06188933632	29.9818188823	20069830	Nord-Kivu	CD	20069830
-0.097	24.435	-5.007	28.801	20069831	Maniema	CD	20069831
-0.615	15.859	-8.129	20.99	2344977	Bandundu	CD	2344977
5.146	16.545	-2.514	24.404	2344978	Equateur	CD	2344978
-2.31	19.68	-7.98	23.755	2344979	Kasai-Occidental	CD	2344979
-1.697	21.855	-8.002	26.27	2344980	Kasai-Oriental	CD	2344980
-5.0	21.745	-13.456	30.774	2344981	Katanga	CD	2344981
-3.972	15.092	-5.049	16.61	2344982	Kinshasa	CD	2344982
-4.27684457732	12.2105521988	-6.03658212626	16.2786759779	2344984	Bas-Congo	CD	2344984
5.37553782801	22.2899369645	-2.11087859447	31.2801375666	2344985	Orientale	CD	2344985
