top	left	bottom	right	slug	name	iso	woeid
9.77351227437	18.869370558	7.01995941819	22.3941683285	2345089	Bamingui-Bangoran	CF	2345089
5.72822947841	20.456612176	4.229509589	22.1471033061	2345090	Basse-Kotto	CF	2345090
9.246	21.105	5.467	24.612	2345091	Haute-Kotto	CF	2345091
5.383	14.678	3.676	17.115	2345092	Mambéré-Kadéï	CF	2345092
8.27166596112	24.2609277685	4.91768463764	27.4409920586	2345093	Haut-Mbomou	CF	2345093
6.551	18.598	4.922	20.012	2345094	Kémo	CF	2345094
5.03594615309	16.7377177267	3.47707489639	18.6261295914	2345095	Lobaye	CF	2345095
6.75307648369	21.7364306987	4.12894725211	25.1837138201	2345096	Mbomou	CF	2345096
6.769	14.42	4.946	16.526	2345097	Nana-Mambéré	CF	2345097
7.707	19.454	4.519	21.952	2345098	Ouaka	CF	2345098
8.63223826718	16.6793233577	5.56265818962	19.0755078469	2345099	Ouham	CF	2345099
7.88	14.945	5.533	17.132	2345100	Ouham-Pendé	CF	2345100
11.008	20.825	8.569	23.698	2345101	Vakaga	CF	2345101
8.57	18.649	6.413	20.173	2345102	Nana-Grébizi	CF	2345102
4.258	15.282	2.221	17.441	2345103	Sangha-Mbaéré	CF	2345103
5.919	16.5	3.885	19.113	2345104	Ombella-M'Poko	CF	2345104
5.8975989855	16.4965438167	3.86671519575	19.1074955585	2345105	Bangui	CF	2345105
