top	left	bottom	right	slug	name	iso	woeid
47.622364814	7.7266915222	47.1423165956	8.44561404805	2347083	Kanton Aargau	CH	2347083
47.4683432071	9.18608564584	47.2500877955	9.60843712717	2347084	Kanton Appenzell Ausserrhoden	CH	2347084
47.5636603866	7.33663781079	47.3385061713	7.95494632291	2347085	Kanton Basel-Land	CH	2347085
47.5969916853	7.52024417493	47.5296572943	7.65935713033	2347086	Kanton Basel-Stadt	CH	2347086
47.345	6.862	46.326	8.455	2347087	Kanton Bern	CH	2347087
47.007	6.742	46.438	7.38	2347088	Canton de Fribourg	CH	2347088
46.365	5.956	46.129	6.31	2347089	Canton de Genève	CH	2347089
47.174	8.871	46.796	9.253	2347090	Kanton Glarus	CH	2347090
47.065	8.651	46.169	10.492	2347091	Kanton Graubünden	CH	2347091
47.4497655303	9.30277103016	47.2397008327	9.60843712717	2347092	Kanton Appenzell Innerrhoden	CH	2347092
47.287	7.836	46.775	8.514	2347093	Kanton Luzern	CH	2347093
47.166	6.433	46.847	7.088	2347094	Canton de Neuchâtel	CH	2347094
47.0112910024	8.22232018383	46.7751038682	8.56322960746	2347095	Kanton Nidwalden	CH	2347095
46.9794066436	8.04372643393	46.7587741152	8.50008100753	2347096	Kanton Obwalden	CH	2347096
47.532	8.796	46.873	9.674	2347097	Kanton St. Gallen	CH	2347097
47.808	8.405	47.552	8.876	2347098	Kanton Schaffhausen	CH	2347098
47.223	8.389	46.885	9.005	2347099	Kanton Schwyz	CH	2347099
47.503	7.34	47.074	8.031	2347100	Kanton Solothurn	CH	2347100
47.6822577989	8.7390328303	47.3799506697	9.55283328613	2347101	Kanton Thurgau	CH	2347101
46.6323477242	8.38463585756	45.8211052514	9.1633480164	2347102	Cantone Ticino	CH	2347102
46.9892251656	8.40168908009	46.5318370632	8.94868411668	2347103	Kanton Uri	CH	2347103
46.6556537953	6.75000695186	45.8764765485	8.47692996605	2347104	Canton de Valais	CH	2347104
46.9896644152	6.0537703795	46.1898682724	7.25431725394	2347105	Canton de Vaud	CH	2347105
47.248	8.395	47.081	8.701	2347106	Kanton Zug	CH	2347106
47.694	8.358	47.159	8.985	2347107	Kanton Zürich	CH	2347107
47.4996074491	6.83739179889	47.154305528	7.55894982308	2347108	Canton de Jura	CH	2347108
