top	left	bottom	right	slug	name	iso	woeid
6.646	-4.666	5.585	-3.389	55966991	Agnéby	CI	55966991
9.07554454215	-8.26638912586	7.84277741125	-7.08382564903	55966992	Bafing	CI	55966992
10.488	-8.167	8.504	-6.563	55966993	Denguélé	CI	55966993
8.16707286192	-8.48585893424	6.5859549013	-6.98259151858	55966994	Dix-Huit Montagnes	CI	55966994
6.6412745224	-6.39993974422	5.67820669149	-5.21267371242	55966995	Fromager	CI	55966995
7.795	-7.086	6.232	-5.938	55966996	Haut-Sassandra	CI	55966996
7.54925527621	-5.67615963376	6.23564036681	-4.63208899561	55966997	Lacs	CI	55966997
7.745	-6.437	6.485	-5.409	55966998	Marahoué	CI	55966998
6.967	-8.599	5.63	-6.972	55966999	Moyen-Cavally	CI	55966999
7.353	-3.803	5.766	-3.071	55967000	Moyen-Comoé	CI	55967000
8.061	-4.977	6.181	-3.503	55967001	N'zi-Comoé	CI	55967001
10.737	-6.969	8.524	-3.782	55967002	Savanes	CI	55967002
6.23393504447	-6.05164059044	5.0276779238	-4.93770341668	55967003	Sud-Bandama	CI	55967003
6.245	-3.857	5.079	-2.726	55967004	Sud-Comoé	CI	55967004
9.398	-5.792	7.236	-3.903	55967005	Vallée du Bandama	CI	55967005
9.21091095608	-7.23358395054	7.61839834231	-5.34553382013	55967006	Worodougou	CI	55967006
9.94916046758	-4.32296057797	7.05497020081	-2.50674068883	55967007	Zanzan	CI	55967007
6.55786876083	-7.60648108573	4.34412791577	-5.74395911272	55967008	Bas-Sassandra	CI	55967008
6.38074778928	-5.44294389474	5.09893972429	-3.40229325983	55967009	Lagunes	CI	55967009
