top	left	bottom	right	slug	name	iso	woeid
-20.133	-157.384	-20.182	-157.312	24549666	Mauke	CK	24549666
-19.761	-157.735	-19.857	-157.705	24549667	Mitiaro	CK	24549667
-10.875	-165.858	-10.952	-165.8	24549668	Pukapuka	CK	24549668
-11.55	-165.417	-11.574	-165.4	24549669	Nassau	CK	24549669
-18.066	-163.184	-18.067	-163.183	24549670	Palmerston	CK	24549670
-13.216	-163.193	-13.458	-163.043	24549671	Suwarrow	CK	24549671
-21.876	-157.969	-21.944	-157.873	24549672	Mangaia	CK	24549672
-9.997	-161.1	-10.044	-161.067	24549673	Rakahanga	CK	24549673
-19.966	-158.135	-20.034	-158.074	24549674	Atiu	CK	24549674
-21.183	-159.825	-21.266	-159.715	24549675	Rarotonga	CK	24549675
-18.826	-159.839	-18.95	-159.716	24549676	Aitutaki	CK	24549676
-19.806	-158.303	-19.82	-158.284	24549677	Takutea	CK	24549677
-19.233	-158.967	-19.35	-158.892	24549678	Manuae and Teautu	CK	24549678
-8.944	-158.067	-9.12	-157.888	24549679	Tongareva	CK	24549679
-10.366	-161.05	-10.435	-160.939	24549680	Maniki	CK	24549680
