top	left	bottom	right	slug	name	iso	woeid
-26.272	-109.475	-33.966	-69.997	2345018	Valparaíso	CL	2345018
-43.627	-75.694	-49.218	-71.11	2345019	Aisen del General Carlos Ibanez Del Campo	CL	2345019
-20.936	-70.751	-26.082	-66.988	2345020	Antofagasta	CL	2345020
-37.58	-73.519	-39.627	-70.832	2345021	Araucania	CL	2345021
-25.2913241509	-71.5218562489	-29.7478996718	-68.3027245754	2345022	Atacama	CL	2345022
-26.466	-105.467	-38.507	-70.997	2345023	Biobio	CL	2345023
-29.0690780572	-71.7133432687	-32.2203585749	-69.8364035715	2345024	Coquimbo	CL	2345024
-33.8988090958	-72.1027768625	-35.0272673483	-70.0483286201	2345025	Libertador General Bernardo O'Higgins	CL	2345025
-40.27294199	-74.4071323312	-44.0445980773	-71.6599098371	2345026	Los Lagos	CL	2345026
-48.622	-75.71	-55.979	-66.418	2345027	Magallanes y Antartica Chilena	CL	2345027
-34.7607203106	-72.8041552394	-36.4853178848	-70.3579738025	2345028	Maule	CL	2345028
-32.916	-71.726	-34.297	-69.744	2345029	Santiago	CL	2345029
-18.936	-70.285	-21.631	-68.407	2345030	Tarapaca	CL	2345030
-17.508	-70.374	-19.222	-68.909	56043702	Arica y Parinacota	CL	56043702
-39.281	-73.731	-40.664	-71.589	56043703	Los Rios	CL	56043703
