top	left	bottom	right	slug	name	iso	woeid
31.1778388538	117.999237095	27.1822429471	122.531156854	12577992	浙江省	CN	12577992
30.056460273	113.558526239	24.4995901553	118.476262242	12577993	江西省	CN	12577993
35.1125857612	116.377217238	30.7637039249	121.895846796	12577994	江苏省	CN	12577994
46.2934536812	121.649505243	40.8594184436	131.281837193	12577995	吉林省	CN	12577995
39.133	89.424	31.631	103.016	12577996	青海省	CN	12577996
28.3259715845	115.841280959	23.5830569522	120.429683059	12577997	福建省	CN	12577997
53.569857083	121.166899042	43.432698066	134.772580194	12577998	黑龙江省	CN	12577998
36.3652999945	110.327664016	31.3951382509	116.641180455	12577999	河南省	CN	12577999
42.6214555932	113.438378534	36.0565591496	119.850235224	12578000	河北省	CN	12578000
30.0983956978	108.787913039	24.6426563586	114.234298944	12578001	湖南省	CN	12578001
33.2664710556	108.380392694	29.0663398304	116.147257115	12578002	湖北省	CN	12578002
49.1661982289	73.6021537617	34.3399714222	96.3668624206	12578003	新疆维吾尔自治区	CN	12578003
36.4548294134	78.3807251318	27.3158523627	99.108813918	12578004	西藏自治区	CN	12578004
42.7874144556	92.7644983259	32.5943415391	108.705334101	12578005	甘肃省	CN	12578005
26.3898882104	104.483059524	21.0211978214	112.052571649	12578006	广西省	CN	12578006
29.2460962994	103.596291946	24.6313908958	109.521408319	12578007	贵州省	CN	12578007
43.4722822133	118.847557408	38.7210476748	125.768892044	12578008	辽宁省	CN	12578008
53.3244198677	97.1904813984	37.3903278669	126.056264683	12578009	内蒙古自治区	CN	12578009
39.378	104.311	35.204	107.534	12578010	宁夏回族自治区	CN	12578010
41.0477273627	115.421823359	39.4404352887	117.488570592	12578011	北京直辖市	CN	12578011
31.8211070825	120.860767857	30.6912794053	121.892849563	12578012	上海直辖市	CN	12578012
40.7425780297	110.237436965	34.5836774768	114.540946893	12578013	山西省	CN	12578013
38.3954861514	114.834210647	34.3972289088	122.689235061	12578014	山东省	CN	12578014
39.5807884793	105.498553095	31.7052485214	111.226730585	12578015	陝西省	CN	12578015
34.2997154814	97.3609619486	26.0348452825	108.523484735	12578016	四川省	CN	12578016
40.2570262724	116.680609572	38.5592487659	118.013086379	12578017	天津直辖市	CN	12578017
29.2237720811	97.513149042	21.1347567819	106.19995731	12578018	云南省	CN	12578018
25.5175900337	109.661864862	20.2383515484	117.174687941	12578019	广东省	CN	12578019
20.1636791041	108.615520461	18.1694080674	111.034907668	12578020	海南省	CN	12578020
34.6428469913	114.875913528	29.4078693708	119.629783563	12578022	安徽省	CN	12578022
32.197569892	105.285181105	28.1918195665	110.175476922	20070171	重庆直辖市	CN	20070171
16.984	111.193	15.775	112.734	23424920	西沙群岛	CN	23424920
