top	left	bottom	right	slug	name	iso	woeid
0.133222154179	-74.4153230452	-4.23622690215	-69.4189613516	2345047	Amazonas	CO	2345047
8.849	-77.091	5.421	-73.878	2345048	Antioquia	CO	2345048
7.093	-72.373	6.025	-69.44	2345049	Arauca	CO	2345049
11.064	-75.245	10.224	-74.705	2345050	Atlantico	CO	2345050
10.806	-75.801	6.984	-73.747	2345051	Bolivar	CO	2345051
7.044	-74.653	4.655	-71.974	2345052	Boyaca	CO	2345052
5.77913076447	-75.9268070133	4.80006907823	-74.6318472969	2345053	Caldas	CO	2345053
2.983	-76.291	-0.666	-71.282	2345054	Caqueta	CO	2345054
3.31793732335	-77.9777929351	0.972137356254	-75.7810277982	2345055	Cauca	CO	2345055
10.8663137883	-74.1370971344	7.67821381282	-72.9158796863	2345056	Cesar	CO	2345056
8.687	-77.887	3.991	-76.037	2345057	Choco	CO	2345057
9.439	-76.485	7.351	-74.783	2345058	Cordoba	CO	2345058
2.921	-73.657	0.699	-70.001	2345059	Guavaire	CO	2345059
4.031	-70.958	1.17	-66.87	2345060	Guainia	CO	2345060
3.77212148662	-76.6007193674	1.56011180232	-74.4935611638	2345061	Huila	CO	2345061
12.4683865425	-73.651002774	10.4002440454	-71.1073854232	2345062	La Guajira	CO	2345062
11.3579633653	-74.9477453271	8.8876748726	-73.5618350902	2345063	Magdalena	CO	2345063
4.91938995998	-74.8975158355	1.62450063749	-71.0603340323	2345064	Meta	CO	2345064
3.004	-79.047	0.352	-76.838	2345065	Narino	CO	2345065
9.29560862884	-73.6403315903	6.8754204374	-71.9946697658	2345066	Norte de Santander	CO	2345066
1.43774201108	-77.2385615708	-0.563944594168	-73.8641422185	2345067	Putumayo	CO	2345067
4.718	-75.89	4.079	-75.383	2345068	Quindio	CO	2345068
5.57733429624	-76.1829154123	4.67136892314	-75.3780291409	2345069	Risaralda	CO	2345069
13.39	-81.728	12.487	-81.35	2345070	San Andres y Providencia	CO	2345070
8.16146596938	-74.519425218	5.71140879988	-72.4768625561	2345071	Santander	CO	2345071
10.11	-75.908	8.259	-74.526	2345072	Sucre	CO	2345072
5.31440460879	-76.112997199	2.88920380311	-74.4802028059	2345073	Tolima	CO	2345073
5.0357136091	-77.4764281888	3.09286062242	-75.7080865138	2345074	Valle del Cauca	CO	2345074
2.047	-72.07	-1.204	-69.112	2345075	Vaupes	CO	2345075
6.31398183819	-71.0636930001	2.78251780885	-67.4191609358	2345076	Vichada	CO	2345076
6.3513438992	-73.068609382	4.29823924395	-69.8557563955	2345077	Casanare	CO	2345077
5.823	-74.884	3.674	-73.054	2345078	Cundinamarca	CO	2345078
4.835	-74.496	3.674	-73.99	2345079	Distrito Especial	CO	2345079
