top	left	bottom	right	slug	name	iso	woeid
23.021	-84.957	21.76	-82.834	2345106	Pinar del Rio	CU	2345106
23.1943209904	-82.5387290103	22.9478502463	-82.0761991034	2345107	Ciudad de la Habana	CU	2345107
23.284	-82.284	21.653	-80.471	2345108	Matanzas	CU	2345108
21.9545258655	-83.1917382476	21.4376065125	-81.3692396715	2345109	Isla de la Juventud	CU	2345109
23.267	-81.267	19.95	-75.148	2345110	Camaguey	CU	2345110
22.75	-79.452	20.845	-78.071	2345111	Ciego de Avila	CU	2345111
22.573	-80.919	21.817	-80.034	2345112	Cienfuegos	CU	2345112
20.7842097034	-77.73713579	19.8278856466	-76.1796597973	2345113	Granma	CU	2345113
20.558	-75.474	19.884	-74.132	2345114	Guantanamo	CU	2345114
23.2005480006	-82.9780303614	22.5593468285	-81.5961767244	2345115	La Habana	CU	2345115
21.243	-76.735	20.369	-74.7	2345116	Holguin	CU	2345116
21.459	-77.82	20.505	-76.299	2345117	Las Tunas	CU	2345117
22.471	-80.085	21.35	-78.925	2345118	Sancti Spiritus	CU	2345118
20.58	-77.038	19.887	-75.387	2345119	Santiago de Cuba	CU	2345119
23.1545818144	-80.7484248522	21.9385061708	-79.3267028471	2345120	Villa Clara	CU	2345120
