top	left	bottom	right	slug	name	iso	woeid
17.156	-25.067	17.078	-24.97	20069964	Paul	CV	20069964
16.227	-22.965	15.965	-22.666	2345121	Boa Vista	CV	2345121
14.979	-24.762	14.802	-24.641	2345122	Brava	CV	2345122
15.331	-23.254	15.111	-23.098	2345124	Maio	CV	2345124
14.99	-23.584	14.892	-23.461	2345125	Praia	CV	2345125
17.197	-25.234	17.068	-25.023	2345126	Ribeira Grande	CV	2345126
16.854	-23.0	16.581	-22.87	2345127	Sal	CV	2345127
15.206	-23.792	14.971	-23.621	2345128	Santa Catarina	CV	2345128
16.667	-24.432	16.48	-24.314	2345129	Tarrafal de São Nicolau	CV	2345129
16.92	-25.096	16.605	-24.583	2345130	São Vicente	CV	2345130
15.332	-23.786	15.194	-23.661	2345131	Tarrafal	CV	2345131
17.127	-25.359	16.907	-24.981	56051556	Porto Novo	CV	56051556
15.115	-23.668	15.055	-23.592	56051557	São Salvador do Mundo	CV	56051557
15.24	-23.697	15.133	-23.593	56051558	São Miguel	CV	56051558
15.106	-23.642	15.037	-23.557	56051560	São Lourenço dos Órgãos	CV	56051560
15.176	-23.63	15.045	-23.496	56051561	Santa Cruz	CV	56051561
15.079	-23.627	14.972	-23.438	56051562	São Domingos	CV	56051562
15.06	-23.721	14.904	-23.577	56051563	Ribeira Grande	CV	56051563
15.029	-24.517	14.808	-24.292	56051564	São Filipe	CV	56051564
14.951	-24.364	14.901	-24.296	56051565	Santa Catarina do Fogo	CV	56051565
15.046	-24.416	14.946	-24.299	56051566	Mosteiros	CV	56051566
16.679	-24.373	16.478	-24.02	56051567	Ribeira Brava	CV	56051567
