top	left	bottom	right	slug	name	iso	woeid
50.208	15.363	49.573	16.867	20070465	Pardubický	CZ	20070465
50.78	15.105	50.038	16.585	20070466	Královéhradecký	CZ	20070466
49.861	14.889	48.938	16.416	20070467	Vysočina	CZ	20070467
50.619	13.397	49.501	15.535	20070468	Středočeský	CZ	20070468
49.54	17.111	48.854	18.416	20070469	Zlínský	CZ	20070469
50.449	16.712	49.267	17.917	20070470	Olomoucký	CZ	20070470
50.328	17.146	49.393	18.859	20070471	Moravskoslezský	CZ	20070471
50.178	14.224	49.942	14.707	20070472	Hlavní město Praha	CZ	20070472
51.023	14.343	50.472	15.633	20070498	Liberecký	CZ	20070498
51.056	12.94	50.077	14.653	20070499	Ústecký	CZ	20070499
50.46	12.091	49.891	13.301	20070500	Karlovarský	CZ	20070500
50.103	12.4	48.941	13.834	20070501	Plzeňský	CZ	20070501
49.621	13.536	48.552	15.603	20070502	Jihočeský	CZ	20070502
49.632	15.542	48.617	17.645	20070503	Jihomoravský	CZ	20070503
