top	left	bottom	right	slug	name	iso	woeid
49.791	7.512	47.532	10.496	2345481	Baden-Württemberg	DE	2345481
50.5628571637	8.97658938999	47.2715335147	13.8165523617	2345482	Bayern	DE	2345482
53.6170118276	8.49605024612	53.0246190456	8.98992190947	2345483	Freie Hansestadt Bremen	DE	2345483
53.7277802602	9.74088382373	53.4043891461	10.3279797706	2345484	Freie und Hansestadt Hamburg	DE	2345484
51.6550127225	7.77139163562	49.3962875431	10.2328951351	2345485	Hessen	DE	2345485
53.892602241	6.65972822408	51.2904613309	11.5813399591	2345486	Niedersachsen	DE	2345486
52.5241844753	5.85202558721	50.3230785187	9.4621411472	2345487	Nordrhein-Westfalen	DE	2345487
50.9327053903	6.09599002422	48.9578905296	8.50457685694	2345488	Rheinland-Pfalz	DE	2345488
49.6294774437	6.34191816599	49.1054267439	7.39058800633	2345489	Saarland	DE	2345489
55.058	7.869	53.36	11.313	2345490	Schleswig-Holstein	DE	2345490
53.5438112669	11.274520424	51.3479771999	14.7610941908	2345491	Bundesland Brandenburg	DE	2345491
54.6885484886	10.6012447449	53.1082409269	14.3910909355	2345492	Mecklenburg-Vorpommern	DE	2345492
51.6700764027	11.8973930189	50.161227932	15.021801792	2345493	Sachsen	DE	2345493
53.042	10.561	50.938	13.187	2345494	Sachsen-Anhalt	DE	2345494
51.649	9.878	50.204	12.654	2345495	Thüringen	DE	2345495
52.675	13.088	52.338	13.761	2345496	Bundesland Berlin	DE	2345496
