top	left	bottom	right	slug	name	iso	woeid
18.994	-71.061	18.179	-70.469	2345172	Azua	DO	2345172
18.6507740345	-71.6206615875	18.3359870466	-70.9932838613	2345173	Bahoruco	DO	2345173
18.465	-71.515	17.846	-70.946	2345174	Barahona	DO	2345174
19.646	-71.787	19.217	-71.395	2345175	Dajabon	DO	2345175
18.536749986	-69.9974014965	18.4264724799	-69.8778222314	2345176	Distrito Nacional	DO	2345176
19.4993268905	-70.3636323719	19.0383472763	-69.6767492336	2345177	Duarte	DO	2345177
19.68	-70.587	19.308	-70.05	2345178	Espaillat	DO	2345178
18.6848288027	-72.0105861068	18.1359475775	-71.2007647364	2345179	Independencia	DO	2345179
18.9799012314	-68.9428663803	18.1078872746	-68.3285886296	2345180	La Altagracia	DO	2345180
19.317	-71.883	18.634	-71.302	2345181	Elias Piña	DO	2345181
18.665	-69.109	18.342	-68.823	2345182	Romana	DO	2345182
19.685	-70.184	19.196	-69.716	2345183	Maria Trinidad Sanchéz	DO	2345183
19.91	-71.867	19.529	-71.163	2345184	Monte Cristri	DO	2345184
18.292	-71.78	17.469	-71.28	2345185	Pedernales	DO	2345185
18.777	-70.68	18.194	-70.186	2345186	Peravia	DO	2345186
19.93	-71.258	19.543	-70.332	2345187	Puerto Plata	DO	2345187
19.56	-70.453	19.219	-70.213	2345188	Salcedo	DO	2345188
19.361	-69.725	18.947	-69.149	2345189	Samana	DO	2345189
19.14	-70.383	18.828	-69.884	2345190	Sánchez Ramirez	DO	2345190
19.192	-71.649	18.483	-70.89	2345191	San Juan	DO	2345191
18.798	-69.596	18.397	-69.066	2345192	San Pedro de Marcoris	DO	2345192
19.669	-71.164	18.991	-70.531	2345193	Santiago	DO	2345193
19.577	-71.558	19.118	-71.091	2345194	Santiago Rodriguez	DO	2345194
19.781	-71.199	19.476	-70.893	2345195	Valverde	DO	2345195
19.0512147078	-69.3285534326	18.5273448752	-68.7850982328	2345196	El Seibo	DO	2345196
19.104	-69.509	18.514	-69.13	2345197	Hato Mayor	DO	2345197
19.376	-70.907	18.66	-70.35	2345198	La Vega	DO	2345198
19.117	-70.552	18.691	-70.202	2345199	Monseñor Nouel	DO	2345199
19.093	-70.235	18.565	-69.357	2345200	Monte Plata	DO	2345200
18.797	-70.386	18.231	-70.021	2345201	San Cristobal	DO	2345201
18.777	-70.68	18.465	-70.36	28358195	San Jose de Ocoa	DO	28358195
18.7316734889	-70.1671844147	18.4103494325	-69.5182576157	28358196	Santo Domingo	DO	28358196
