top	left	bottom	right	slug	name	iso	woeid
36.818	2.967	36.589	3.285	2344579	Alger	DZ	2344579
35.88	4.766	34.743	6.789	2344580	Batna	DZ	2344580
36.614	6.323	36.056	7.039	2344581	Constantine	DZ	2344581
36.445	2.277	35.428	3.591	2344582	Medea	DZ	2344582
36.342	-0.147	35.517	0.772	2344583	Mostaganem	DZ	2344583
35.915	-1.139	35.364	-0.132	2344584	Oran	DZ	2344584
35.134	-0.354	34.132	0.797	2344585	Saida	DZ	2344585
36.592	4.82	35.538	6.001	2344586	Setif	DZ	2344586
35.682	0.492	33.986	2.619	2344587	Tiaret	DZ	2344587
36.916	3.75	36.41	4.612	2344588	Tizi Ouzou	DZ	2344588
35.333	-2.215	34.068	-0.792	2344589	Tlemcen	DZ	2344589
36.907	4.35	36.094	5.449	2344590	Bejaia	DZ	2344590
35.095	4.167	33.537	6.74	2344591	Biskra	DZ	2344591
36.677	2.518	36.297	3.492	2344592	Blida	DZ	2344592
36.668	3.288	35.742	4.391	2344593	Bouira	DZ	2344593
35.733	2.265	32.848	5.139	2344594	Djelfa	DZ	2344594
36.759	6.87	36.018	8.035	2344595	Guelma	DZ	2344595
36.916	5.42	36.468	6.464	2344596	Jijel	DZ	2344596
34.57	1.365	32.414	4.214	2344597	Laghouat	DZ	2344597
35.736	-0.547	34.983	0.85	2344598	Mascara	DZ	2344598
35.936	3.317	34.223	5.453	2344599	M'sila	DZ	2344599
36.147	6.213	35.361	7.889	2344600	Oum el Bouaghi	DZ	2344600
35.435	-1.128	34.209	-0.036	2344601	Sidi Bel Abbes	DZ	2344601
37.094	6.218	36.436	7.45	2344602	Skikda	DZ	2344602
36.018	7.168	34.064	8.473	2344603	Tebessa	DZ	2344603
31.625	-5.752	20.004	2.623	2344604	Adrar	DZ	2344604
36.435	1.529	35.822	2.665	2344605	Ain Defla	DZ	2344605
35.649	-1.35	35.043	-0.609	2344606	'Aïn Temouchent	DZ	2344606
37.052	7.302	36.56	7.797	2344607	Annaba	DZ	2344607
32.286	-5.635	28.135	0.251	2344608	Bechar	DZ	2344608
36.327	4.114	35.685	5.226	2344609	Bordj Bou Arreridj	DZ	2344609
36.926	3.199	36.59	4.047	2344610	Boumerdes	DZ	2344610
36.559	0.743	35.786	1.753	2344611	Chlef	DZ	2344611
34.426	-0.567	30.62	2.052	2344612	El Bayadh	DZ	2344612
34.497	5.059	31.968	9.129	2344613	El Oued	DZ	2344613
36.956	7.686	36.456	8.676	2344614	El Tarf	DZ	2344614
32.995	1.357	29.137	5.084	2344615	Ghardaia	DZ	2344615
30.055	5.512	24.0	11.708	2344616	Illizi	DZ	2344616
35.692	6.498	34.072	7.505	2344617	Khenchela	DZ	2344617
36.626	5.728	35.819	6.54	2344618	Mila	DZ	2344618
34.519	-1.734	32.214	0.009	2344619	Naama	DZ	2344619
33.388	3.009	28.716	9.575	2344620	Ouargla	DZ	2344620
36.223	0.404	35.439	1.385	2344621	Relizane	DZ	2344621
36.509	7.302	35.779	8.409	2344622	Souk Ahras	DZ	2344622
29.123545641	0.825407341875	19.061162421	11.9684997897	2344623	Tamanghasset	DZ	2344623
29.825	-8.674	25.579	-3.653	2344624	Tindouf	DZ	2344624
36.815	1.621	36.349	2.989	2344625	Tipaza	DZ	2344625
36.004	1.247	35.545	2.442	2344626	Tissemsilt	DZ	2344626
