top	left	bottom	right	slug	name	iso	woeid
59.6709833845	23.7184285822	58.9846686878	25.9454761083	2345276	Harjumaa	EE	2345276
59.0895718454	22.0448873228	58.6871157905	23.040795526	2345277	Hiiumaa	EE	2345277
59.5026732446	26.7030009295	58.818916531	28.1861662123	2345278	Ida-Virumaa	EE	2345278
59.27	25.195	58.606	26.169	2345279	Järvamaa	EE	2345279
58.969	25.75	58.471	27.368	2345280	Jõgevamaa	EE	2345280
59.304	23.117	58.534	24.193	2345281	Läänemaa	EE	2345281
59.636	25.536	58.877	26.953	2345282	Lääne-Virumaa	EE	2345282
58.757	23.609	57.865	25.307	2345283	Pärnumaa	EE	2345283
58.268	26.566	57.817	27.819	2345284	Põlvamaa	EE	2345284
59.228	24.071	58.656	25.334	2345285	Raplamaa	EE	2345285
58.684	21.772	57.78	23.446	2345286	Saaremaa	EE	2345286
58.785	26.049	58.113	27.55	2345287	Tartumaa	EE	2345287
58.184	25.581	57.572	26.625	2345288	Valgamaa	EE	2345288
58.69	24.972	57.956	26.191	2345289	Viljandimaa	EE	2345289
57.957	26.371	57.509	27.555	2345290	Võrumaa	EE	2345290
