top	left	bottom	right	slug	name	iso	woeid
31.5297811953	31.2138883803	30.5703307156	32.2566154314	2345223	Ad Daqahliyah	EG	2345223
29.2987545847	30.8154114109	21.9956603055	36.8993811379	2345224	Al Bahr al Ahmar	EG	2345224
31.4981293806	29.6248897641	29.8982011991	30.8794901877	2345225	Al Buhayrah	EG	2345225
29.756	30.229	29.02	31.098	2345226	Al Fayyum	EG	2345226
31.1330870635	30.7516426943	30.5650855574	31.3057174008	2345227	Al Gharbiyah	EG	2345227
31.332	29.649	30.451	30.105	2345228	Al Iskandariyah	EG	2345228
31.201	31.712	30.256	32.449	2345229	Al Isma'iliyah	EG	2345229
30.342	30.3	29.392	31.296	2345230	Al Jizah	EG	2345230
30.7167300484	30.7960844253	30.175445258	31.2621541681	2345231	Al Minufiyah	EG	2345231
28.751	30.591	27.596	30.984	2345232	Al Minya	EG	2345232
30.519	31.206	28.947	31.892	2345233	Al Qahirah	EG	2345233
30.552	31.054	30.094	31.416	2345234	Al Qalyobiyah	EG	2345234
27.999	25.0	21.999	32.719	2345235	Al Wadi al Jadid	EG	2345235
31.287	31.262	30.288	32.283	2345236	Ash Sharquiyah	EG	2345236
30.274	31.835	28.947	32.656	2345237	As Suways	EG	2345237
25.325	31.155	22.005	33.129	2345238	Aswan	EG	2345238
27.639	30.62	26.802	31.643	2345239	Asyut	EG	2345239
29.443	30.229	28.718	31.23	2345240	Bani Suwayf	EG	2345240
31.275	32.267	31.198	32.345	2345241	Bur Sa'id	EG	2345241
31.538	31.496	31.156	32.204	2345242	Dumyat	EG	2345242
31.603	30.35	30.962	31.308	2345243	Kafr ash Shaykh	EG	2345243
31.667	24.698	27.95	30.998	2345244	Matruh	EG	2345244
26.288	31.852	25.128	32.903	2345245	Qina	EG	2345245
26.924	31.251	26.115	32.263	2345246	Suhaj	EG	2345246
29.9252021349	32.6519401385	27.7286953804	34.8854988948	2345247	Janub Sina'	EG	2345247
31.3142646349	32.5995402357	29.4895181341	34.8869458347	2345248	Shamal Sina'	EG	2345248
