top	left	bottom	right	slug	name	iso	woeid
42.645	-3.134	41.919	-1.68	12578023	La Rioja	ES	12578023
41.165	-4.579	39.885	-3.053	12578024	Comunidad de Madrid	ES	12578024
38.755	-2.344	37.374	-0.688	12578025	Región de Murcia	ES	12578025
43.315	-2.501	41.91	-0.724	12578026	Comunidad Foral de Navarra	ES	12578026
43.659	-7.183	42.881	-4.51	12578027	Principado de Asturias	ES	12578027
43.5362576364	-4.83603003576	42.7625064149	-3.14954382958	12578028	Cantabria	ES	12578028
38.729	-7.523	36.0	-1.627	12578029	Andalucía	ES	12578029
42.923	-2.175	39.847	0.771	12578030	Aragón	ES	12578030
29.415	-18.159	27.636	-13.418	12578031	Islas Canarias	ES	12578031
41.328	-5.407	38.02	-0.916	12578032	Castilla-La Mancha	ES	12578032
43.238	-7.077	40.082	-1.775	12578033	Castilla y León	ES	12578033
42.862	0.16	40.523	3.332	12578034	Cataluña	ES	12578034
40.4803201358	-7.55769853316	37.938976549	-4.65839229937	12578035	Extremadura	ES	12578035
43.8055435243	-9.29188208629	41.8062857118	-6.7357073633	12578036	Galicia	ES	12578036
43.457	-3.451	42.472	-1.729	12578037	País Vasco	ES	12578037
40.789	-1.524	37.844	0.692	12578038	Comunidad Valenciana	ES	12578038
40.095	1.186	38.64	4.328	12578039	Islas Baleares	ES	12578039
35.918	-5.382	35.872	-5.278	55862983	Ceuta	ES	55862983
35.337	-2.975	35.183	-2.416	55862984	Melilla	ES	55862984
