top	left	bottom	right	slug	name	iso	woeid
14.8797122254	36.4316060728	12.2510354676	39.9999670751	2345312	Tigray	ET	2345312
8.517	34.529	4.44	39.154	56013536	Southern Nations Nationalities and People's Region	ET	56013536
14.4660940614	39.6682043799	8.84292308233	42.3789433122	56013537	Afar	ET	56013537
12.0378701847	34.06647912	8.78711253482	37.0461422059	56013538	Benshangul-Gumaz	ET	56013538
8.638	33.0	6.779	35.371	56013539	Gambela	ET	56013539
11.0897626812	39.0903585142	3.40351349525	47.9786015154	56013540	Somali	ET	56013540
13.7765237497	35.2478023616	8.75610667608	40.1966475763	56013541	Amhara	ET	56013541
9.78059194616	41.7317476739	9.47373729074	42.3410128113	56013542	Dire Dawa	ET	56013542
9.09691274693	38.6550362486	8.83258779549	38.9079407085	56013543	Addis Ababa	ET	56013543
9.38485382694	42.0611332541	9.18869009058	42.2741435074	56013544	Harari	ET	56013544
10.387	34.128	3.402	42.977	56013545	Oromia	ET	56013545
