top	left	bottom	right	slug	name	iso	woeid
60.841	22.809	59.765	25.526	29389247	Uudenmaan maakunta	FI	29389247
62.494	22.533	60.94	24.97	29389248	Pirkanmaan maakunta	FI	29389248
61.324	23.136	60.552	25.269	29389249	Kanta-Hämeen maakunta	FI	29389249
61.101	21.001	59.774	23.923	29389250	Varsinais-Suomen maakunta	FI	29389250
60.762	25.102	60.121	26.753	29389251	Itä-Uudenmaan maakunta	FI	29389251
62.311	21.327	60.872	23.006	29389252	Satakunnan maakunta	FI	29389252
61.864	26.953	60.666	30.144	29389253	Etelä-Karjalan maakunta	FI	29389253
61.292	25.992	60.272	27.991	29389254	Kymeenlaakson maakunta	FI	29389254
61.801	24.85	60.672	26.514	29389255	Päijat-Hämeen maakunta	FI	29389255
63.498	21.512	61.98	24.583	29389256	Etelä-Pohjanmaan maakunta	FI	29389256
64.198	22.786	63.117	25.036	29389257	Keski-Pohjanmaan maakunta	FI	29389257
63.612	24.013	61.451	26.78	29389258	Keski-Suomen maakunta	FI	29389258
63.93	20.805	61.954	23.744	29389259	Pohjanmaan maakunta	FI	29389259
62.657	26.22	61.151	29.697	29389260	Etelä-Savon maakunta	FI	29389260
63.882	28.359	61.722	31.586	29389261	Pohjois-karjala maakuntaa	FI	29389261
64.037	26.04	62.141	29.098	29389262	Pohjois-Savon maakunta	FI	29389262
70.092	20.549	65.578	30.018	29389263	Lapin maakunta	FI	29389263
65.521	26.291	63.669	30.554	29389264	Kainuun maakunta	FI	29389264
66.486	23.613	63.429	30.138	29389265	Pohjois-pohjanmaan maakunta	FI	29389265
