top	left	bottom	right	slug	name	iso	woeid
45.7103368189	-1.79758500814	42.7730225689	1.45865034304	7153309	Aquitaine	FR	7153309
46.793216458	2.05871707513	44.6223412137	4.47815595863	7153310	Auvergne	FR	7153310
49.7264741072	-1.94540544241	48.1808320172	0.979816521515	7153311	Basse-Normandie	FR	7153311
48.4117481556	2.83086632612	46.1717556827	5.52170983194	7153312	Bourgogne	FR	7153312
48.8767585312	-5.1326269187	47.2967516137	-1.03933671742	7153313	Bretagne	FR	7153313
48.941	0.053	46.347	3.129	7153314	Centre	FR	7153314
50.169	3.384	47.577	5.891	7153315	Champagne-Ardenne	FR	7153315
43.0174520939	8.54555626821	41.3660025088	9.55975792829	7153316	Corse	FR	7153316
48.024	5.251	46.261	7.143	7153317	Franche-Comté	FR	7153317
50.0657298853	0.0755823091763	48.665091865	1.78343672013	7153318	Haute-Normandie	FR	7153318
49.241	1.447	48.12	3.559	7153319	Île-de-France	FR	7153319
44.976	1.688	42.332	4.845	7153320	Languedoc-Roussillon	FR	7153320
46.4519969751	0.635909865248	44.9328648953	2.59775394079	7153321	Limousin	FR	7153321
49.6089360621	4.90691531729	47.8189936383	7.6451461117	7153322	Lorraine	FR	7153322
45.047	-0.327	42.572	3.451	7153323	Midi-Pyrénées	FR	7153323
51.089	1.555	49.969	4.231	7153324	Nord-Pas-de-Calais	FR	7153324
48.5612739122	-2.55614335813	46.2791909858	0.912895541696	7153325	Pays de la Loire	FR	7153325
50.375788479	1.37302249519	48.84694123	4.25021121627	7153326	Picardie	FR	7153326
47.160584215	-1.55561011432	45.1011491968	1.19468712771	7153327	Poitou-Charentes	FR	7153327
45.141	4.23	42.982	7.717	7153328	Provence-Alpes-Côte d'Azur	FR	7153328
46.52	3.688	44.115	7.185	7153329	Rhône-Alpes	FR	7153329
49.0656875679	6.86891442246	47.4171577011	8.19989261275	7153330	Alsace	FR	7153330
