top	left	bottom	right	slug	name	iso	woeid
41.823	42.528	41.578	42.962	20070347	Adigenis Raioni	GE	20070347
41.835	42.793	41.437	43.305	20070348	Akhalts´ikhis Raioni	GE	20070348
41.995	43.2	41.634	44.272	20070349	Borjomis Raioni	GE	20070349
41.773	42.974	41.304	43.428	20070350	Aspindzis Raioni	GE	20070350
41.53	43.43	41.112	43.958	20070351	Ninotsmindis Raioni	GE	20070351
41.687	43.124	41.176	43.754	20070352	Akhalk´alak´is Raioni	GE	20070352
41.554	43.854	41.156	44.427	20070353	Dmanisis Raioni	GE	20070353
41.731	43.719	41.484	44.199	20070354	Tsalkis Raioni	GE	20070354
41.742	44.181	41.492	44.788	20070355	T´et´ritsqaros Raioni	GE	20070355
41.532	44.184	41.184	44.764	20070356	Bolnisis Raioni	GE	20070356
41.624	44.549	41.186	45.158	20070357	Sighnaghis Raioni	GE	20070357
41.802	44.688	41.67	44.968	20070358	T´bilisi	GE	20070358
41.929	45.045	41.421	45.63	20070359	Sagarejos Raioni	GE	20070359
41.996	44.548	41.727	45.028	20070360	Mts´khet´is Raioni	GE	20070360
42.388	44.809	41.918	45.229	20070361	T´ianet´is Raioni	GE	20070361
42.752	44.217	42.474	44.753	20070362	Qazbegis Raioni	GE	20070362
42.753	44.455	41.939	45.312	20070363	Dushet´is Raioni	GE	20070363
42.485	44.195	42.062	44.63	20070364	Akhalgoris Raioni	GE	20070364
42.631	43.684	42.395	44.359	20070365	Javis Raioni	GE	20070365
42.098	44.187	41.717	44.615	20070366	Kaspis Raioni	GE	20070366
42.159	43.438	41.904	43.806	20070367	Khashuris Raioni	GE	20070367
42.353	43.614	41.877	43.997	20070368	K´arelis Raioni	GE	20070368
41.926	45.445	41.529	45.919	20070369	Gurjaanis Raioni	GE	20070369
42.042	45.886	41.665	46.419	20070370	Lagodekhis Raioni	GE	20070370
41.603	45.767	41.039	46.721	20070371	Dedop´listsqaros Raioni	GE	20070371
42.185	45.528	41.827	46.009	20070372	Qvarlis Raioni	GE	20070372
41.772	45.496	41.242	46.352	20070373	Marneulis Raioni	GE	20070373
42.55	45.059	41.892	45.775	20070374	Akhmetis Raioni	GE	20070374
42.308	45.244	41.842	45.675	20070375	T´elavis Raioni	GE	20070375
42.01	41.758	41.774	42.295	20070376	Ozurget´is Raioni	GE	20070376
42.067	42.112	41.752	42.656	20070377	Ch´okhatauris Raioni	GE	20070377
42.172	41.699	41.963	42.235	20070378	Lanch´khut´is Raioni	GE	20070378
42.896	43.298	42.466	43.931	20070379	Onis Raioni	GE	20070379
42.813	42.877	42.417	43.379	20070380	Ambrolauris Raioni	GE	20070380
42.78	42.502	42.539	43.054	20070381	Ts´ageris Raioni	GE	20070381
42.949	42.382	42.695	43.361	20070382	Lentekhis Raioni	GE	20070382
42.492	43.299	42.134	43.86	20070383	Sach´kheris Raioni	GE	20070383
42.468	43.175	42.193	43.458	20070384	Chiat´ura	GE	20070384
42.227	43.035	41.835	43.601	20070385	Kharagaulis Raioni	GE	20070385
42.256	42.724	41.973	43.38	20070386	Zestap´onis Raioni	GE	20070386
42.329	42.722	42.139	43.199	20070387	T´erjolis Raioni	GE	20070387
42.157	42.693	41.803	43.2	20070388	Baghdat´is Raioni	GE	20070388
42.573	42.755	42.244	43.227	20070389	Tqibuli	GE	20070389
42.581	42.51	42.109	42.912	20070390	Tsqaltubo	GE	20070390
42.133	42.424	41.811	42.779	20070391	Vanis Raioni	GE	20070391
42.627	42.264	42.241	42.712	20070392	Khonis Raioni	GE	20070392
42.262	42.315	42.006	42.634	20070393	Samtrediis Raioni	GE	20070393
43.254	42.023	42.846	43.178	20070394	Mestiis Raioni	GE	20070394
42.273	42.011	42.038	42.364	20070395	Abashis Raioni	GE	20070395
42.805	42.239	42.383	42.644	20070396	Martvilis Raioni	GE	20070396
42.85	42.082	42.492	42.454	20070397	Ch´khorotsqus Raioni	GE	20070397
42.875	42.016	42.575	42.322	20070398	Tsalenjikhis Raioni	GE	20070398
42.512	41.787	42.128	42.38	20070399	Senakis Raioni	GE	20070399
41.9026105817	41.5208044781	41.4220197619	42.586579217	20070400	Ajaria	GE	20070400
43.5759968124	39.9854976741	42.4064557967	42.154667596	20070401	Abkhazia	GE	20070401
41.994	44.094	41.969	44.125	20070402	Gori	GE	20070402
42.512	43.739	41.759	44.43	20070403	Goris Raioni	GE	20070403
42.279	42.698	42.254	42.731	20070404	K´ut´aisi	GE	20070404
42.169	41.65	42.141	41.679	20070405	P´ot´I	GE	20070405
42.526	41.603	42.097	42.131	20070406	Khobis Raioni	GE	20070406
41.552	44.998	41.525	45.044	20070407	Rust´avi	GE	20070407
41.92	44.602	41.392	45.307	20070408	Gardabanis Raioni	GE	20070408
42.519	41.841	42.491	41.88	20070409	Zugdidi	GE	20070409
42.685	41.585	42.351	42.103	20070410	Zugdidis Raioni	GE	20070410
