top	left	bottom	right	slug	name	iso	woeid
40.456	23.992	40.113	24.4	12577877	Mount Athos	GR	12577877
41.7507335476	23.6191581556	40.3980512558	26.6361316257	12577878	East Macedonia and Thrace	GR	12577878
38.343525499	22.8997188658	35.8291311712	24.0873466328	12577879	Attica	GR	12577879
39.1539411486	20.7294120623	37.3730679388	22.3722058445	12577880	West Greece	GR	12577880
40.9281997745	20.7391272315	39.7951939966	22.1710811708	12577881	West Macedonia	GR	12577881
39.901	19.374	37.242	21.12	12577882	Ionian Islands	GR	12577882
40.3266344265	19.9998441913	38.9500259468	21.3850826355	12577883	Epirus	GR	12577883
41.4001089548	21.6926607604	39.9126286889	24.1216597835	12577884	Central Macedonia	GR	12577884
35.6869434679	23.5181824076	34.8149295111	26.3212154474	12577885	Crete	GR	12577885
38.000213121	24.2751387871	35.3493154977	28.2397546726	12577886	South Aegean	GR	12577886
38.1628388531	21.5675004412	36.3908539903	23.4421146993	12577887	Peloponnese	GR	12577887
39.273	21.375	37.93	24.686	12577888	Central Greece	GR	12577888
40.17362051	21.1103707212	38.9570281034	24.0947880389	12577889	Thessaly	GR	12577889
40.0361612001	24.9737007995	37.5131627471	27.0679398947	12577890	North Aegean	GR	12577890
