top	left	bottom	right	slug	name	iso	woeid
16.0823778343	-90.8181461246	15.1510651718	-89.3963466051	2345552	Alta Verapaz	GT	2345552
15.2957075054	-90.871915453	14.8815209006	-89.9173742338	2345553	Baja Verapaz	GT	2345553
14.938	-91.128	14.373	-90.619	2345554	Chimaltenango	GT	2345554
14.95	-89.72	14.4	-89.133	2345555	Chiquimula	GT	2345555
15.1598501651	-90.4176020986	14.6742984078	-89.7645670237	2345556	El Progreso	GT	2345556
14.471	-91.538	13.911	-90.579	2345557	Escuintla	GT	2345557
14.915	-90.763	14.242	-90.212	2345558	Guatemala	GT	2345558
16.08	-92.115	15.139	-91.047	2345559	Huehuetenango	GT	2345559
15.9697232123	-89.6613691885	15.0716901717	-88.2214570784	2345560	Izabal	GT	2345560
14.873	-90.3	14.42	-89.645	2345561	Jalapa	GT	2345561
14.559	-90.297	13.737	-89.499	2345562	Jutiapa	GT	2345562
17.815	-91.438	15.844	-89.145	2345563	Peten	GT	2345563
15.226	-92.139	14.494	-91.404	2345564	Quetzaltenango	GT	2345564
16.074	-91.326	14.783	-90.419	2345565	Quiche	GT	2345565
14.714	-92.171	14.19	-91.517	2345566	Retalhuleu	GT	2345566
14.725	-90.881	14.376	-90.612	2345567	Sacatepequez	GT	2345567
15.421	-92.241	14.485	-91.568	2345568	San Marcos	GT	2345568
14.519062405	-90.6274342521	13.8023102886	-90.0503376943	2345569	Santa Rosa	GT	2345569
14.896	-91.506	14.522	-91.072	2345570	Solola	GT	2345570
14.706	-91.786	14.045	-91.093	2345571	Suchitepequez	GT	2345571
15.252	-91.554	14.823	-91.176	2345572	Totonicapan	GT	2345572
15.298	-89.9	14.742	-89.153	2345573	Zacapa	GT	2345573
