top	left	bottom	right	slug	name	iso	woeid
13.28	144.656	13.242	144.72	24549709	Merizo	GU	24549709
13.337	144.643	13.273	144.691	24549710	Umatac	GU	24549710
13.335	144.686	13.241	144.771	24549711	Inarajan	GU	24549711
13.369	144.672	13.294	144.772	24549712	Talofofo	GU	24549712
13.4	144.635	13.324	144.7	24549713	Agat	GU	24549713
13.446	144.619	13.351	144.722	24549714	Santa Rita	GU	24549714
13.44	144.699	13.362	144.788	24549715	Yona	GU	24549715
13.47	144.665	13.407	144.711	24549716	Piti	GU	24549716
13.479	144.706	13.432	144.747	24549717	Asan	GU	24549717
13.48	144.73	13.463	144.76	24549718	Agana	GU	24549718
13.458	144.739	13.416	144.794	24549719	Chalan-Pago-Ordot	GU	24549719
13.483	144.752	13.458	144.785	24549720	Mongmong-Toto-Maite	GU	24549720
13.544	144.768	13.48	144.821	24549721	Tamuning	GU	24549721
13.499	144.778	13.452	144.834	24549722	Barrigada	GU	24549722
13.499	144.777	13.422	144.872	24549723	Mangilao	GU	24549723
13.652	144.807	13.495	144.877	24549724	Dededo	GU	24549724
13.652	144.86	13.482	144.954	24549725	Yigo	GU	24549725
13.472	144.731	13.454	144.751	24549726	Agana Heights	GU	24549726
13.465	144.751	13.449	144.771	24549727	Sinajana	GU	24549727
