top	left	bottom	right	slug	name	iso	woeid
15.92	-87.801	15.421	-86.362	2345623	Atlántida	HN	2345623
13.76	-87.517	12.982	-86.703	2345624	Choluteca	HN	2345624
16.027	-86.452	15.082	-84.999	2345625	Colón	HN	2345625
15.056	-88.087	14.044	-87.21	2345626	Comayagua	HN	2345626
15.292	-89.225	14.494	-88.635	2345627	Copán	HN	2345627
15.923	-88.469	14.805	-87.725	2345628	Cortés	HN	2345628
14.422	-87.223	13.497	-85.571	2345629	El Paraíso	HN	2345629
15.028	-87.649	13.654	-86.716	2345630	Francisco Morazán	HN	2345630
15.9894636091	-84.9999482899	14.6196764187	-83.1302949691	2345631	Gracias a Dios	HN	2345631
14.662	-88.512	13.85	-87.847	2345632	Intibucá	HN	2345632
16.51	-87.019	15.933	-85.843	2345633	Islas de la Bahía	HN	2345633
14.424	-88.227	13.827	-87.594	2345634	La Paz	HN	2345634
14.9416722679	-88.9788785468	13.9663312847	-88.3168000963	2345635	Lempira	HN	2345635
14.727	-89.351	14.22	-88.716	2345636	Ocotepeque	HN	2345636
15.5849921735	-86.9874755525	14.042347317	-84.9999482899	2345637	Olancho	HN	2345637
15.545	-88.756	14.641	-87.945	2345638	Santa Bárbara	HN	2345638
13.8499042828	-87.8177349516	13.2492174339	-87.3477894761	2345639	Valle	HN	2345639
15.724	-87.939	14.871	-86.226	2345640	Yoro	HN	2345640
