top	left	bottom	right	slug	name	iso	woeid
45.6302900252	16.925923293	45.1855626487	18.4439701681	12577972	Brodsko-Posavska	HR	12577972
43.1568492702	16.6318843932	42.4164293483	18.4975069516	12577973	Dubrovačko-neretvanska	HR	12577973
45.5145348168	13.5015845066	44.7724612495	14.2348214048	12577974	Istarska	HR	12577974
45.763	14.962	44.883	15.925	12577975	Karlovačka	HR	12577975
46.355	16.342	45.88	17.306	12577976	Koprivničko-križevačka	HR	12577976
46.2596572945	15.5896741061	45.9110480824	16.2558866716	12577977	Krapinsko-Zagorska	HR	12577977
45.1268582222	14.7338090352	44.2992084821	15.6534945005	12577978	Ličko-senjska	HR	12577978
46.547339993	16.2333040709	46.2809479841	16.8594157244	12577979	Medjimurska	HR	12577979
45.922	17.884	45.204	19.102	12577980	Osječko-baranjska	HR	12577980
45.58	16.928	45.182	18.114	12577981	Požeško-slavonska	HR	12577981
45.6681688501	14.1162239925	44.4823497582	15.2343986342	12577982	Primorsko-Goranska	HR	12577982
45.9822065292	15.2486096537	45.5198574894	15.9410221693	12577983	Sibenska	HR	12577983
45.67	15.768	44.996	17.195	12577984	Sisačko-moslavačka	HR	12577984
43.9702363149	16.0129040866	43.011535143	17.4510075216	12577985	Splitsko-Dalmatinska	HR	12577985
46.405	15.877	46.01	16.774	12577986	Varaždinska	HR	12577986
45.9849970563	17.1323189634	45.4701964386	18.083216994	12577987	Virovitičko-podravska	HR	12577987
45.4813068709	18.5023128594	44.8615514189	19.4074255717	12577988	Vukovarsko-Srijemska	HR	12577988
44.9501248234	14.5951611669	43.8637311877	16.5274463236	12577989	Zadarsko-Kninska	HR	12577989
45.6952989771	14.9682650085	44.8785529645	15.84252689	12577990	Zagrebačka	HR	12577990
46.089	16.489	45.466	17.499	12577991	Bjelovarsko-Bilogorska	HR	12577991
46.0637519397	16.1238533871	45.6690473493	16.6959631691	20070170	Grad Zagreb	HR	20070170
