top	left	bottom	right	slug	name	iso	woeid
47.134	18.733	45.905	20.16	12577911	Bács-Kiskun	HU	12577911
46.411611843	17.6170438984	45.7416010609	18.8524206883	12577912	Baranya	HU	12577912
47.232	20.408	46.243	21.685	12577913	Békés	HU	12577913
48.585	20.052	47.643	22.128	12577914	Borsod-Abaúj-Zemplén	HU	12577914
47.6068102073	18.9296252781	47.360158596	19.3267069844	12577915	Budapest	HU	12577915
46.812	19.638	46.125	20.776	12577916	Csongrád	HU	12577916
47.577	18.034	46.687	18.968	12577917	Fejér	HU	12577917
48.0205317251	16.4072986186	47.3983991562	17.9290661967	12577918	Győr-Moson-Sopron	HU	12577918
47.965	20.823	46.941	22.13	12577919	Hajdú-Bihar	HU	12577919
48.154	19.571	47.42	20.772	12577920	Heves	HU	12577920
47.823	17.87	47.333	18.941	12577921	Komárom-Esztergom	HU	12577921
48.25	18.928	47.688	20.093	12577922	Nógrád	HU	12577922
48.0545864933	18.6849890475	46.9455069032	20.2021057475	12577923	Pest	HU	12577923
46.9719652366	16.8790010924	45.8505866558	18.2191776871	12577924	Somogy	HU	12577924
48.425	21.079	47.593	22.897	12577925	Szabolcs-Szatmár-Bereg	HU	12577925
47.683	19.651	46.754	21.03	12577926	Jász-Nagykun-Szolnok	HU	12577926
46.86	18.001	46.109	19.006	12577927	Tolna	HU	12577927
47.4542097028	16.0935193211	46.6965040144	17.3023344257	12577928	Vas	HU	12577928
47.486	17.073	46.748	18.262	12577929	Veszprém	HU	12577929
47.0468443874	16.3662675314	46.3017735865	17.2265767758	12577930	Zala	HU	12577930
48.155	20.482	48.023	20.87	56043619	Miskolc	HU	56043619
47.637	21.437	47.425	21.884	56043620	Debrecen	HU	56043620
47.002	18.86	46.89	18.966	56043621	Dunaújváros	HU	56043621
47.281	18.329	47.108	18.554	56043622	Székesfehérvár	HU	56043622
46.528	20.16	46.295	20.583	56043623	Hódmezôvásárhely	HU	56043623
46.35	19.972	46.116	20.309	56043624	Szeged	HU	56043624
46.161	18.136	45.994	18.365	56043625	Pécs	HU	56043625
47.61	18.338	47.486	18.497	56043626	Tatabánya	HU	56043626
47.43	18.834	47.314	18.961	56043627	Érd	HU	56043627
47.759	16.421	47.62	16.749	56043628	Sopron	HU	56043628
47.747	17.51	47.591	17.808	56043629	Gyôr	HU	56043629
46.451	17.741	46.29	17.891	56043630	Kaposvár	HU	56043630
47.274	16.527	47.154	16.698	56043631	Szombathely	HU	56043631
46.404	18.611	46.294	18.85	56043632	Szekszárd	HU	56043632
47.206	17.821	47.046	17.994	56043633	Veszprém	HU	56043633
47.001	19.507	46.772	19.851	56043634	Kecskemét	HU	56043634
48.178	19.727	48.041	19.922	56043635	Salgótarján	HU	56043635
48.039	21.558	47.846	21.844	56043636	Nyíregyháza	HU	56043636
46.748	20.931	46.611	21.236	56043637	Békéscsaba	HU	56043637
47.264	20.071	47.096	20.298	56043638	Szolnok	HU	56043638
46.545	16.92	46.359	17.091	56043639	Nagykanizsa	HU	56043639
46.901	16.769	46.781	16.906	56043640	Zalaegerszeg	HU	56043640
48.002	20.311	47.857	20.471	56043641	Eger	HU	56043641
