top	left	bottom	right	slug	name	iso	woeid
52.9158918322	-7.09261064317	52.465945136	-6.4960062317	2345249	Carlow	IE	2345249
54.2991148948	-8.04867631666	53.7733588727	-6.74829057485	2345250	Cavan	IE	2345250
53.1663674994	-9.93615800629	52.5568439805	-8.27791297021	2345251	Clare	IE	2345251
52.3792320825	-10.1627074856	51.4458006866	-7.85168575709	2345252	Cork	IE	2345252
55.383	-8.805	54.444	-6.931	2345253	Donegal	IE	2345253
53.6345559757	-6.52918250167	53.176806139	-6.05065873851	2345254	Dublin	IE	2345254
53.7173416205	-10.2030667792	52.968343411	-7.96919796372	2345255	Galway	IE	2345255
52.5773078477	-10.477985399	51.6865611845	-9.11817175942	2345256	Kerry	IE	2345256
53.452	-7.168	52.858	-6.462	2345257	Kildare	IE	2345257
52.8881932645	-7.66823442258	52.2473538276	-6.91995968259	2345258	Kilkenny	IE	2345258
54.476	-8.428	53.805	-7.584	2345259	Leitrim	IE	2345259
53.2080187042	-7.72848914266	52.7798277854	-6.93076005743	2345260	Laois	IE	2345260
52.7550747744	-9.36260128442	52.2768093936	-8.15523311971	2345261	Limerick	IE	2345261
53.942	-8.037	53.521	-7.375	2345262	Longford	IE	2345262
54.114	-6.696	53.629	-6.095	2345263	Louth	IE	2345263
54.346	-10.258	53.473	-8.583	2345264	Mayo	IE	2345264
53.9165025904	-7.33853878404	53.3756570505	-6.19783321763	2345265	Meath	IE	2345265
54.421	-7.327	53.901	-6.549	2345266	Monaghan	IE	2345266
53.4275918645	-8.07652991402	52.8531049666	-6.98775916156	2345267	Offaly	IE	2345267
54.1146817084	-8.8171048646	53.2762315943	-7.88465532059	2345268	Roscommon	IE	2345268
54.4750731473	-9.1348115708	53.9116450058	-8.1569901189	2345269	Sligo	IE	2345269
53.1703982608	-8.47697058732	52.2071495636	-7.36463538222	2345270	Tipperary	IE	2345270
52.3598534209	-8.14774003767	51.9446849632	-6.95499630364	2345271	Waterford	IE	2345271
53.7953730335	-7.96299679197	53.3246524117	-6.94760657348	2345272	Westmeath	IE	2345272
52.7916100122	-7.01933346197	52.1247773299	-6.15101436982	2345273	Wexford	IE	2345273
53.2239867211	-6.78363725426	52.6817975941	-5.99334957512	2345274	Wicklow	IE	2345274
