top	left	bottom	right	slug	name	iso	woeid
30.795	76.705	30.657	76.849	20070456	Chandigarh	IN	20070456
20.3373635935	72.8879854677	20.0265815294	73.1700354352	20070457	Dadra and Nagar Haveli	IN	20070457
28.8820616727	76.8336877787	28.4325800644	77.3375329937	20070458	Delhi	IN	20070458
16.7502957222	75.2217965024	10.8091079777	82.3013643734	20070459	Puducherry	IN	20070459
20.7395711621	70.9715622978	20.3763158492	72.884081266	20070460	Daman and Diu	IN	20070460
24.4829503439	92.2496977074	21.9572130398	93.4320544777	20070461	Mizoram	IN	20070461
31.4338180607	77.5653227073	28.7328718129	81.0029423363	20070462	Uttarakhand	IN	20070462
25.3237775739	83.3370634294	21.9861518418	87.8999890479	20070463	Jharkhand	IN	20070463
24.1402322451	80.2605587097	17.7760729025	84.3533321471	20070464	Chhattisgarh	IN	20070464
13.6801988798	92.2173482606	6.74553172481	94.2909167822	2345739	Andaman and Nicobar Islands	IN	2345739
19.8912926299	76.719482863	12.6318907737	84.780076125	2345740	Andhra Pradesh	IN	2345740
27.9933303902	89.655437453	24.1277782248	96.0118453311	2345741	Assam	IN	2345741
27.5170803901	83.3230074404	24.3016694197	88.3038920427	2345742	Bihar	IN	2345742
24.7083629416	68.1434688658	20.0726769068	74.4590523623	2345743	Gujarat	IN	2345743
30.9342619895	74.4593624206	27.6704043642	77.5879569839	2345744	Haryana	IN	2345744
33.2328555361	75.5778471206	30.3821768252	78.99706994	2345745	Himachal Pradesh	IN	2345745
35.4943454049	73.7744429871	32.3005868601	79.5046358581	2345746	Jammu and Kashmir	IN	2345746
12.7799437529	74.8542737158	8.28507599496	77.4045056494	2345747	Kerala	IN	2345747
11.6940668812	72.1725769384	8.24947093314	73.6844226417	2345748	Lakshadweep	IN	2345748
26.8598078475	74.0248669782	21.0747862818	82.8180253439	2345749	Madhya Pradesh	IN	2345749
22.023048814	72.6491369977	15.6135175644	80.89700565	2345750	Maharashtra	IN	2345750
25.6876313343	92.9779219913	23.8418008486	94.7135266459	2345751	Manipur	IN	2345751
26.089260566	89.7945504093	25.0045722518	92.8116272321	2345752	Meghalaya	IN	2345752
18.4607856306	74.0913228701	11.6255956078	78.5689823749	2345753	Karnataka	IN	2345753
27.0331822775	93.3359363134	25.2058002793	95.2469307797	2345754	Nagaland	IN	2345754
22.556763007	81.3907222837	17.7872350126	87.477379185	2345755	Orissa	IN	2345755
32.5167493757	73.8419324077	29.5598239201	76.9103756046	2345756	Punjab	IN	2345756
30.2041773545	69.4646285341	23.0360619165	78.2465214378	2345757	Rajasthan	IN	2345757
13.5358666037	76.2305204612	8.07588979748	80.3478918799	2345758	Tamil Nadu	IN	2345758
24.5423265648	91.1320398297	22.9446463081	92.3319665874	2345759	Tripura	IN	2345759
30.4020205757	77.0581702004	23.9110472684	84.6124377787	2345760	Uttar Pradesh	IN	2345760
27.2492931181	85.822389764	21.5234927437	89.8884981624	2345761	West Bengal	IN	2345761
28.1068118354	88.0043754415	27.0845486516	88.8919698424	2345762	Sikkim	IN	2345762
29.461276964	91.5728397966	26.6477277692	97.3618404478	2345763	Arunachal Pradesh	IN	2345763
15.7830162627	73.6859729353	14.8873086612	74.3042297706	2345764	Goa	IN	2345764
