top	left	bottom	right	slug	name	iso	woeid
35.1589136826	38.7740987489	30.5509778915	44.2872506042	2345833	Al Anbar	IQ	2345833
31.329	46.451	29.103	48.576	2345834	Al Basrah	IQ	2345834
31.787	43.8	29.103	46.556	2345835	Al Muthanna	IQ	2345835
32.3950772164	44.4292574404	31.2626398784	45.7857637881	2345836	Al Qadisiyah	IQ	2345836
36.541	44.511	34.59	46.349	2345837	As Sulaymaniyah	IQ	2345837
33.2055703804	43.8214392429	32.1187116558	45.1984094578	2345838	Babil	IQ	2345838
33.4325074324	44.2222416523	33.1760114607	44.5432556495	2345839	Baghdad	IQ	2345839
37.378	42.362	36.696	44.11	2345840	Dahuk	IQ	2345840
32.0054369162	45.7059753759	30.50725963	47.134725376	2345841	Dhi Qar	IQ	2345841
35.1100277773	44.2447725771	33.0002599147	45.9644608908	2345842	Diyala	IQ	2345842
37.313872586	43.3158370297	35.4260291611	45.045447219	2345843	Arbil	IQ	2345843
32.825800279	43.2107271665	32.1684502219	44.3194966982	2345844	Karbala'	IQ	2345844
35.9078343778	43.2673645363	34.7021973738	44.8033948099	2345845	At Ta'mim	IQ	2345845
32.8225188255	46.3108996926	31.12980561	47.8369047386	2345846	Maysan	IQ	2345846
37.062415066	41.1911088396	34.9484355739	44.3026501813	2345847	Ninawa	IQ	2345847
33.4959660916	44.5233085472	31.9423399931	46.6036983581	2345848	Wasit	IQ	2345848
32.304	42.696	29.858	44.823	2345849	An Najaf	IQ	2345849
35.701	42.468	33.587	44.894	2345850	S-Alah Ad Din	IQ	2345850
