top	left	bottom	right	slug	name	iso	woeid
39.696	47.033	37.119	48.898	20070198	Ardabil	IR	20070198
35.217	50.036	34.016	51.978	20070199	Qom	IR	20070199
36.78	48.61	35.462	50.859	20070200	Qazvin	IR	20070200
38.1188363717	53.7053837418	36.4774378526	56.3030546409	20070201	Golestan	IR	20070201
39.777	44.047	35.973	47.456	2345767	Azarbayjan-e Gharbi	IR	2345767
39.176	45.09	36.809	48.341	2345768	Azarbayjan-e Sharqi	IR	2345768
32.718	49.589	31.112	51.484	2345769	Chahar Mahall va Bakhtiari	IR	2345769
31.471	58.664	25.064	63.317	2345770	Sistan va Baluchestan	IR	2345770
31.614	49.97	30.145	51.695	2345771	Kohgiluyeh va Buyer Ahmad	IR	2345771
31.7125348988	50.6013871599	27.1393773463	55.5572603696	2345772	Fars	IR	2345772
38.4449921735	48.4560917498	36.5619546573	50.5762724136	2345773	Gilan	IR	2345773
35.841	47.657	33.929	49.607	2345774	Hamadan	IR	2345774
34.074	45.84	32.032	48.052	2345775	Ilam	IR	2345775
28.9507396508	52.6787797382	25.3941091984	59.2762064957	2345776	Hormozgan	IR	2345776
35.307	45.413	33.59	48.105	2345777	Kermanshah	IR	2345777
33.0447016466	47.5800728701	29.9569831409	50.4298214049	2345778	Khuzestan	IR	2345778
36.5076944034	45.5014400574	34.7390943468	48.2257182147	2345779	Kordestan	IR	2345779
36.9891120473	50.304557733	35.7671711287	54.1201387874	2345780	Mazandaran	IR	2345780
30.342	50.102	27.334	52.952	2345781	Bushehr	IR	2345781
34.3574380559	46.8266304871	32.6014728869	50.0015271343	2345782	Lorestan	IR	2345782
35.6770474306	48.8950313657	33.4986532658	51.0329887225	2345783	Markazi	IR	2345783
37.473	51.938	34.237	56.981	2345784	Semnan	IR	2345784
36.284	50.304	34.978	53.203	2345785	Tehran	IR	2345785
37.184	47.287	35.495	49.519	2345786	Zanjan	IR	2345786
34.477	49.583	30.793	55.454	2345787	Esfahan	IR	2345787
31.823	54.214	25.904	59.441	2345788	Kerman	IR	2345788
33.391	52.566	29.883	56.278	2345790	Yazd	IR	2345790
