top	left	bottom	right	slug	name	iso	woeid
64.337	-22.109	64.31	-22.047	20070100	Akranes	IS	20070100
65.699	-18.143	65.655	-18.087	20070101	Akureyri	IS	20070101
64.074	-21.969	64.052	-21.913	20070102	Hafnarfjordur	IS	20070102
66.081	-17.368	66.028	-17.28	20070103	Husavik	IS	20070103
66.084	-23.169	66.064	-23.113	20070104	Isafjordur	IS	20070104
64.04	-22.619	63.994	-22.537	20070105	Keflavik	IS	20070105
64.118	-21.94	64.102	-21.877	20070106	Kopavogur	IS	20070106
65.155	-13.701	65.144	-13.645	20070107	Neskaupstadur	IS	20070107
66.091	-18.676	66.047	-18.534	20070108	Olafsfjordur	IS	20070108
64.148	-21.921	64.132	-21.881	20070109	Reykjavik	IS	20070109
65.755	-19.684	65.724	-19.585	20070110	Saudarkrokur	IS	20070110
65.272	-14.053	65.236	-13.993	20070111	Seydisfjordur	IS	20070111
66.169	-18.941	66.151	-18.911	20070112	Siglufjordur	IS	20070112
63.467	-20.598	63.287	-20.182	20070113	Vestmannaeyjar	IS	20070113
64.956	-21.749	63.774	-18.548	2345687	Arnessysla	IS	2345687
65.73	-22.868	65.366	-21.587	2345688	Austur-Bardastrandarsysla	IS	2345688
66.125	-20.562	64.79	-19.101	2345689	Austur-Hunavatnssysla	IS	2345689
64.676	-17.502	63.759	-14.507	2345690	Auster-Skaftafellssysla	IS	2345690
64.983	-22.087	64.302	-19.657	2345691	Borgarfjardarsysla	IS	2345691
65.459	-22.815	64.898	-21.295	2345692	Dalasysla	IS	2345692
66.197	-19.088	64.682	-17.662	2345693	Eyjafjardarsysla	IS	2345693
64.178	-22.769	63.798	-21.364	2345694	Gullbringusysla	IS	2345694
64.399	-21.918	64.062	-21.06	2345695	Kjosarsysla	IS	2345695
65.18	-22.533	64.428	-20.289	2345696	Myrasysla	IS	2345696
66.47	-23.488	65.654	-21.959	2345697	Nordur-Isafjardarsysla	IS	2345697
66.17	-16.967	64.575	-13.566	2345698	Nordur-Mulasysla	IS	2345698
66.535	-17.148	65.478	-14.542	2345699	Nordur-Tingeyjarsysla	IS	2345699
64.714	-20.795	63.458	-18.31	2345700	Rangarvallasysla	IS	2345700
66.137	-20.218	64.682	-18.31	2345701	Skagafjaryarsysla	IS	2345701
65.109	-24.061	64.667	-21.903	2345702	Snaefellsnesog Hnappadalssysla	IS	2345702
66.263	-22.164	64.927	-20.894	2345703	Strandasysla	IS	2345703
65.415	-15.192	64.435	-13.232	2345704	Sudur-Mulasysla	IS	2345704
67.117	-18.601	64.62	-16.001	2345705	Sudur-Tingeyjarsysla	IS	2345705
65.802	-24.547	65.266	-22.599	2345706	Vestur-Bardastrandarsysla	IS	2345706
65.689	-21.134	64.931	-19.657	2345707	Vestur-Hunavatnssysla	IS	2345707
66.182	-23.879	65.68	-23.005	2345708	Vestur-Isafjardarsysla	IS	2345708
64.728	-19.4	63.393	-17.226	2345709	Vestur-Skaftafellssysla	IS	2345709
