top	left	bottom	right	slug	name	iso	woeid
18.2040571148	-77.4911559723	17.7032091334	-77.1305578278	2345912	Clarendon	JM	2345912
18.4554371204	-78.3460391913	18.2897883164	-77.9214139468	2345913	Hanover	JM	2345913
18.2372333848	-77.6402941553	17.8419345161	-77.3589676581	2345914	Manchester	JM	2345914
18.2667664661	-76.7514336815	17.9867318793	-76.2567610334	2345915	Portland	JM	2345915
18.1669275987	-76.8897714915	17.9297069358	-76.6162481347	2345916	Saint Andrew	JM	2345916
18.4760560164	-77.4911559723	18.184549262	-76.9964058089	2345917	Saint Ann	JM	2345917
18.255	-77.209	17.8	-76.833	2345918	Saint Catherine	JM	2345918
18.2344428578	-77.9646154443	17.8535617132	-77.5645623438	2345919	Saint Elizabeth	JM	2345919
18.5251227889	-78.0074552067	18.1955563425	-77.7355338204	2345920	Saint James	JM	2345920
18.4163697371	-77.0703547836	18.1386089134	-76.7014625723	2345921	Saint Mary	JM	2345921
18.0736257999	-76.6571500316	17.8602796489	-76.1879797025	2345922	Saint Thomas	JM	2345922
18.5067259792	-77.7813966538	18.1960989448	-77.4511584138	2345923	Trelawny	JM	2345923
18.3385967065	-78.374667935	18.0505781112	-77.8859122387	2345924	Westmoreland	JM	2345924
17.979	-76.841	17.9	-76.71	2345925	Kingston St. John	JM	2345925
