top	left	bottom	right	slug	name	iso	woeid
31.863	35.475	31.397	35.879	20070288	Madaba	JO	20070288
32.052	35.642	31.263	37.239	20070289	'Amman	JO	20070289
30.775	34.96	29.258	35.672	20070290	Al `Aqabah	JO	20070290
32.759	35.558	32.207	36.092	20070291	Irbid	JO	20070291
32.395	35.719	32.102	35.997	20070292	Jarash	JO	20070292
32.4020018577	35.6167204122	32.1561770696	35.9053332867	20070293	`Ajlun	JO	20070293
32.223	35.515	31.679	35.942	2345927	Al Balqa'	JO	2345927
31.275	35.333	29.184	38.006	2345928	Ma'an	JO	2345928
31.461	35.358	30.813	36.214	2345929	Al Karak	JO	2345929
33.372	35.944	31.698	39.319	2345930	Al Mafraq	JO	2345930
30.991	35.294	30.656	36.012	2345932	At Tafilah	JO	2345932
32.204	35.863	31.512	37.779	2345933	Az Zarqa	JO	2345933
