top	left	bottom	right	slug	name	iso	woeid
35.3841454132	136.67344608	34.568639635	137.805573359	2345851	愛知県	JP	2345851
40.4995179311	139.703648717	38.8715294458	140.963985224	2345852	秋田県	JP	2345852
41.5315221216	139.85712772	40.2113184678	141.681254103	2345853	青森県	JP	2345853
36.0800202503	139.75284468	34.89533804	140.882904901	2345854	千葉県	JP	2345854
34.1935204126	132.024479201	32.8893622909	133.668874953	2345855	愛媛県	JP	2345855
36.2717914901	135.439309523	35.3303502464	136.803050572	2345856	福井県	JP	2345856
37.964246324	139.155568475	36.7922248396	141.042171666	2345858	福島県	JP	2345858
36.452245592	136.25729577	35.1388115506	137.62449914	2345859	岐阜県	JP	2345859
37.0392381861	138.37680464	35.9695360378	139.674038121	2345860	群馬県	JP	2345860
35.0805463728	132.041274042	34.0714606798	133.449146763	2345861	広島県	JP	2345861
35.6579271514	134.256797723	34.1949673526	135.448507929	2345862	兵庫県	JP	2345862
36.9267385928	139.653729282	35.7324445661	140.85959883	2345863	茨城県	JP	2345863
37.5282005889	136.2412244	36.0634321149	137.363326451	2345864	石川県	JP	2345864
40.4511229522	140.65811242	38.7537846952	142.070636021	2345865	岩手県	JP	2345865
34.5544802923	133.558494094	33.9978734402	134.442936233	2345866	香川県	JP	2345866
32.163463447	129.428203566	29.4433710798	131.191816848	2345867	鹿児島県	JP	2345867
35.6539997419	138.900338576	35.11129385	139.786847773	2345868	神奈川県	JP	2345868
33.8556598985	132.539951614	32.7040764429	134.310282831	2345869	高知県	JP	2345869
33.1811532661	129.958300409	32.0908322209	131.323901808	2345870	熊本県	JP	2345870
35.7634504257	134.865391066	34.6959186877	136.036482376	2345871	京都府	JP	2345871
35.231906643	135.84651981	33.6861612002	136.926092157	2345872	三重県	JP	2345872
38.9901526965	140.269557327	37.7702013211	141.673967727	2345873	宮城県	JP	2345873
32.8230355903	130.700115595	31.3677497425	131.872602166	2345874	宮崎県	JP	2345874
37.0153895126	137.32322554	35.1881625431	138.715698684	2345875	長野県	JP	2345875
34.6912936471	128.60804691	32.5669013538	130.375174188	2345876	長崎県	JP	2345876
34.7595323756	135.543024123	33.838141588	136.211200393	2345877	奈良県	JP	2345877
38.544960232	137.614990676	36.7306523708	139.87118371	2345878	新潟県	JP	2345878
33.6831122907	130.826257766	32.731619981	132.07258996	2345879	大分県	JP	2345879
35.3272754994	133.264300165	34.4239973005	134.397099237	2345880	岡山県	JP	2345880
34.9974506696	135.08666955	34.2636970075	135.714796584	2345881	大阪府	JP	2345881
33.540149441	129.758209263	32.9431316184	130.53666304	2345882	佐賀県	JP	2345882
36.2708613141	138.699523961	35.7515648461	139.87480106	2345883	埼玉県	JP	2345883
35.6750062115	135.742856887	34.7736917183	136.443175897	2345884	滋賀県	JP	2345884
36.3425623642	131.667136672	34.2996379661	133.382174107	2345885	島根県	JP	2345885
35.6278514678	137.463268671	34.5891035022	139.148592157	2345886	静岡県	JP	2345886
37.1435729029	139.305946893	36.2008914248	140.266766799	2345887	栃木県	JP	2345887
34.2322260608	133.647894322	33.525912584	134.75149621	2345888	徳島県	JP	2345888
35.8788697372	138.922817824	24.2120883248	153.966344029	2345889	東京都	JP	2345889
35.5981375184	133.127926061	35.0506257188	134.510684035	2345890	鳥取県	JP	2345890
36.9739966902	136.757575312	36.2733159453	137.734053176	2345891	富山県	JP	2345891
34.3717524273	135.066825799	33.4334376084	135.993952672	2345892	和歌山県	JP	2345892
39.1151063092	139.548929479	37.722607327	140.618218215	2345893	山形県	JP	2345893
34.6631558298	130.861862828	33.7660529652	132.469826695	2345894	山口県	JP	2345894
35.9578054878	138.168548619	35.1569758163	139.121772089	2345895	山梨県	JP	2345895
28.509888007	122.938470493	24.2570468207	131.327932571	2345896	沖縄県	JP	2345896
33.9545685899	130.036435175	32.9806487091	131.195175816	58646425	福岡県	JP	58646425
45.5204776071	139.336435988	41.4012199979	145.825135532	7153351	北海道	JP	7153351
