top	left	bottom	right	slug	name	iso	woeid
14.441	102.952	13.877	104.48	20070092	Otdar Mean Cheay	KH	20070092
14.199	102.337	13.324	103.444	20070093	Banteay Mean Cheay	KH	20070093
10.602	104.267	10.447	104.426	20070094	Keb	KH	20070094
14.4442349311	103.016689081	13.887162991	104.082928909	20070095	Phnum Penh	KH	20070095
10.988890286	103.502240839	10.4536258002	103.954926386	20070096	Preah Seihanu	KH	20070096
13.1155305039	102.464784784	12.6541891545	102.758203567	20070097	Pailin	KH	20070097
13.433	102.346	12.422	103.864	20070098	Batdambang	KH	20070098
12.517	104.806	11.619	106.467	2344928	Kampong Cham	KH	2344928
12.568	104.15	11.734	104.918	2344929	Kampong Chhnang	KH	2344929
12.029	103.75	11.07	104.805	2344930	Kampong Spoe	KH	2344930
13.412	104.25	12.193	105.773	2344931	Kampong Thum	KH	2344931
11.149	102.85	9.283	104.755	2344932	Kampot	KH	2344932
11.889	104.662	10.911	105.281	2344933	Kandal	KH	2344933
12.113	102.78	10.65	104.113	2344934	Kaoh Kong	KH	2344934
13.309	105.652	11.947	106.851	2344935	Krachen	KH	2344935
13.359	106.281	12.06	107.602	2344936	Mondol Kiri	KH	2344936
13.1452444524	102.692212762	11.9084465601	104.405079787	2344937	Pouthisat	KH	2344937
14.437	104.431	13.044	105.913	2344938	Preah Vihear	KH	2344938
11.866	105.105	10.85	105.83	2344939	Prey Veng	KH	2344939
14.686	106.489	13.146	107.628	2344940	Ratanah Kiri	KH	2344940
14.154	103.393	12.652	104.787	2344941	Siem Reap Province	KH	2344941
14.588	105.491	13.152	106.693	2344942	Stoeng Treng	KH	2344942
11.585	105.593	10.79	106.208	2344943	Svay Rieng	KH	2344943
11.358	104.512	10.52	105.099	2344944	Takev	KH	2344944
