top	left	bottom	right	slug	name	iso	woeid
17.393	-62.795	17.337	-62.732	2346964	Christ Church Nichola Town	KN	2346964
17.394	-62.87	17.347	-62.816	2346965	Saint Anne Sandy Point	KN	2346965
17.322	-62.756	17.216	-62.6	2346966	Saint George Basseterre	KN	2346966
17.16	-62.592	17.105	-62.543	2346967	Saint George Gingerland	KN	2346967
17.209	-62.615	17.141	-62.543	2346968	Saint James Windward	KN	2346968
17.415	-62.864	17.357	-62.767	2346969	Saint John Capesterre	KN	2346969
17.16	-62.634	17.095	-62.558	2346970	Saint John Figtree	KN	2346970
17.369	-62.749	17.335	-62.705	2346971	Saint Mary Cayon	KN	2346971
17.42	-62.842	17.39	-62.804	2346972	Saint Paul Capesterre	KN	2346972
17.16	-62.635	17.137	-62.592	2346973	Saint Paul Charlestown	KN	2346973
17.342	-62.759	17.297	-62.687	2346974	Saint Peter Basseterre	KN	2346974
17.201	-62.633	17.149	-62.592	2346975	Saint Thomas Lowland	KN	2346975
17.374	-62.847	17.315	-62.776	2346976	Saint Thomas Middle Island	KN	2346976
17.342	-62.801	17.293	-62.751	2346977	Trinity Palmetto Point	KN	2346977
