top	left	bottom	right	slug	name	iso	woeid
38.769	125.42	38.749	125.439	20070114	Namp´o-si	KP	20070114
39.083	125.663	38.963	125.875	20070115	P´yongyang-si	KP	20070115
37.982	126.535	37.953	126.578	20070116	Kaesong-si	KP	20070116
41.808	125.344	39.959	127.487	2345950	Chagang-do	KP	2345950
41.166	126.577	39.196	129.073	2345951	Hamgyong-namdo	KP	2345951
38.75	124.653	37.633	126.436	2345952	Hwanghae-namdo	KP	2345952
39.149	125.579	37.768	127.027	2345953	Hwanghae-bukto	KP	2345953
39.422	126.687	38.104	128.367	2345954	Kangwon-do	KP	2345954
40.651	124.183	39.262	126.339	2345955	P'yongan-bukto	KP	2345955
42.037	126.883	40.336	129.04	2345956	Yanggang-do	KP	2345956
40.169	125.125	38.64	127.076	2345957	P'yongan-namdo	KP	2345957
43.006	128.319	40.47	130.675	2345958	Hamgyong-bukto	KP	2345958
42.347	130.295	42.179	130.428	24550715	Najin Sonbong-si	KP	24550715
