top	left	bottom	right	slug	name	iso	woeid
55.432	66.029	52.234	74.046	20070174	Soltustik Qazaqstan	KZ	20070174
51.664	77.052	45.531	87.313	20070175	Shyghys Qazaqstan	KZ	20070175
54.72	60.053	48.145	67.04	20070176	Qostanay	KZ	20070176
47.864	65.988	47.792	66.115	20070177	Bayqongyr	KZ	20070177
51.348	62.971	46.014	77.909	20070178	Qaraghandy	KZ	20070178
43.282	76.877	43.227	76.964	20070179	Almaty	KZ	20070179
47.3042963735	73.8132003111	42.1896990019	82.6360209493	20070180	Almaty	KZ	20070180
51.232	71.351	51.15	71.497	20070181	Astana	KZ	20070181
51.286	53.696	45.203	64.135	2345980	Aqtobe	KZ	2345980
46.119	66.007	40.567	70.94	2345982	Ongtustik Qazaqstan	KZ	2345982
46.131	69.153	42.332	75.549	2345983	Zhambyl	KZ	2345983
49.129	46.927	46.006	56.887	2345986	Atyrau	KZ	2345986
48.144	59.016	42.577	67.954	2345990	Qyzylorda	KZ	2345990
46.4804190132	49.9861275572	41.2590581321	56.7075777524	2345991	Mangghystau	KZ	2345991
54.458	73.404	50.053	79.385	2345993	Pavlodar	KZ	2345993
52.893	64.786	48.734	74.113	2345996	Aqmola	KZ	2345996
51.767	46.492	48.161	54.676	2345998	Batys Qazaqstan	KZ	2345998
