top	left	bottom	right	slug	name	iso	woeid
20.8401752788	100.09676395	19.778586331	101.246667922	20070156	Bokeo	LA	20070156
16.34	105.346	15.193	107.128	20070157	Salavan	LA	20070157
16.226	106.356	14.994	107.697	20070158	Xekong	LA	20070158
15.082	106.308	14.286	107.602	20070159	Attapu	LA	20070159
15.4598835311	105.183998651	13.9155850282	106.822244908	20070160	Champasak	LA	20070160
18.2535631369	104.281934849	16.9071853705	106.403769159	20070161	Khammouan	LA	20070161
18.355	102.141	17.805	103.121	20070162	Viangchan	LA	20070162
19.1042088889	102.821662225	17.8613390161	105.256965774	20070163	Bolikhamxai	LA	20070163
19.286	101.392	17.813	103.44	20070164	Viangchan	LA	20070164
20.9614081893	103.114150832	19.5995274931	104.964063755	2346001	Houaphan	LA	2346001
21.564	100.515	20.381	101.79	2346003	Louang Namtha Province	LA	2346003
21.209	101.795	18.758	103.347	2346004	Louangphabang	LA	2346004
21.213	100.542	19.81	102.3	2346005	Oudomxai	LA	2346005
22.5	101.547	20.849	102.994	2346006	Phongsali	LA	2346006
17.132	104.738	15.875	107.161	2346008	Savannahkhet	LA	2346008
20.057	100.412	17.467	102.001	2346010	Xiagnabouli	LA	2346010
20.165	102.427	18.722	104.293	2346011	Xiangkhoang	LA	2346011
