top	left	bottom	right	slug	name	iso	woeid
13.958	-61.066	13.857	-60.984	2347023	Ansela-Raye	LC	2347023
14.068	-60.94	13.962	-60.874	2347024	Dauphin	LC	2347024
14.038	-61.032	13.865	-60.936	2347025	Castries	LC	2347025
13.843	-61.072	13.757	-60.999	2347026	Choiseul	LC	2347026
13.971	-60.972	13.878	-60.866	2347027	Dennery	LC	2347027
14.103	-60.984	14.01	-60.909	2347028	Gros Islet	LC	2347028
13.835	-61.038	13.736	-60.98	2347029	Laborie	LC	2347029
13.867	-60.996	13.76	-60.886	2347030	Micoud	LC	2347030
13.901	-61.074	13.798	-60.981	2347031	Soufriere	LC	2347031
13.843	-61.001	13.705	-60.916	2347032	Vieux Fort	LC	2347032
13.893	-60.977	13.821	-60.877	2347033	Praslin	LC	2347033
