top	left	bottom	right	slug	name	iso	woeid
47.194	9.495	47.087	9.612	20070531	Vaduz	LI	20070531
47.124	9.513	47.048	9.603	20070532	Triesen	LI	20070532
47.165	9.472	47.049	9.635	20070533	Balzers	LI	20070533
47.166	9.531	47.078	9.636	20070534	Triesenberg	LI	20070534
47.194	9.486	47.061	9.625	20070535	Schaan	LI	20070535
47.191	9.539	47.156	9.591	20070536	Planken	LI	20070536
47.229	9.488	47.187	9.579	20070537	Eschen	LI	20070537
47.232	9.529	47.195	9.585	20070538	Mauren	LI	20070538
47.233	9.492	47.187	9.565	20070539	Gamprin	LI	20070539
47.271	9.511	47.226	9.558	20070540	Ruggell	LI	20070540
47.252	9.529	47.224	9.567	20070541	Schellenberg	LI	20070541
