top	left	bottom	right	slug	name	iso	woeid
-28.7595362284	28.5621122579	-29.5760238585	29.4354439634	20069861	Mokhotlong	LS	20069861
-28.5706588685	28.2179988951	-29.0726437315	28.8308813819	20069862	Butha-Buthe	LS	20069862
-28.694	27.639	-29.371	28.794	20069863	Leribe	LS	20069863
-29.1058200006	28.1000215996	-29.8944023574	29.2957625672	20069864	Thaba-Tseka	LS	20069864
-28.937354832	27.5106002136	-29.3734005671	28.2857466982	20069865	Berea	LS	20069865
-29.7388046202	28.2033744645	-30.1728866515	29.1501900567	20069866	Qacha's Nek	LS	20069866
-30.022	27.561	-30.674	28.374	20069867	Quthing	LS	20069867
-29.7762183572	27.1709310234	-30.3935450174	28.5546708518	20069868	Mohale's Hoek	LS	20069868
-29.527	27.013	-30.057	27.825	20069869	Mafeteng	LS	20069869
-29.2646216777	27.2997603697	-29.9269585097	28.2033744645	20069870	Maseru	LS	20069870
