top	left	bottom	right	slug	name	iso	woeid
55.1053705918	22.5713151385	54.2264836697	23.7787866551	55848078	Marijampolìs Apskritis	LT	55848078
56.415	22.466	55.463	24.182	55848079	Siauliù Apskritis	LT	55848079
56.432	21.512	55.597	22.738	55848080	Telšiù Apskritis	LT	55848080
55.9586518421	24.6305176127	55.026719062	26.800462681	55848081	Utenos Apskritis	LT	55848081
54.5608043479	23.3360229834	53.8872020531	24.9979887225	55848082	Alytaus Apskritis	LT	55848082
55.5226061061	24.3886202332	54.1282726103	26.7396395201	55848083	Vilniaus Apskritis	LT	55848083
55.5786233592	22.6457292012	54.4590017767	24.7999646342	55848084	Kauno Apskritis	LT	55848084
56.3842331001	20.9250073588	55.0289411483	22.2989286642	55848085	Klaipìdos Apskritis	LT	55848085
56.45	23.879	55.387	26.046	55848086	Panevežio Apskritis	LT	55848086
55.6868854846	21.8141520525	55.057104804	23.4774613787	55848087	Tauragìs Apskritis	LT	55848087
