top	left	bottom	right	slug	name	iso	woeid
57.471	21.519	57.348	21.674	20070117	Ventspils	LV	20070117
56.609	20.968	56.465	21.106	20070118	Liepąja	LV	20070118
57.009	23.473	56.924	23.971	20070119	Jžrmala	LV	20070119
56.692	23.623	56.597	23.8	20070120	Jelgava	LV	20070120
57.0887637393	23.9267362815	56.851413886	24.3202006367	20070121	Rļga	LV	20070121
55.956	26.439	55.836	26.636	20070122	Daugavpils Novads	LV	20070122
56.538	27.304	56.478	27.379	20070123	Rŗzekne	LV	20070123
56.773	24.771	56.671	24.956	55844184	Lielvąrdes Novads	LV	55844184
57.219	24.784	57.001	25.158	55844261	Siguldas Novads	LV	55844261
56.752	23.681	56.623	24.019	55844264	Ozolnieku Novads	LV	55844264
57.145	22.443	56.851	22.944	55844299	Kandavas Novads	LV	55844299
56.712	25.13	56.587	25.313	55844325	Aizkraukles Novads	LV	55844325
56.925	24.191	56.821	24.518	55844352	Salaspils Novads	LV	55844352
56.123	26.018	55.814	26.38	55844357	Ilžkstes Novads	LV	55844357
56.351	26.582	56.149	26.845	55844399	Preiau Novads	LV	55844399
57.068	24.367	56.889	24.82	55844402	Ropazu Novads	LV	55844402
55.963	27.165	55.854	27.308	55844426	Krąslava Novads	LV	55844426
56.419	27.996	56.282	28.209	55844452	Zilupes Novads	LV	55844452
56.561	26.551	56.123	27.107	55844470	Riebińu Novads	LV	55844470
56.813	22.503	56.556	22.866	55844477	Brocŗnu Novads	LV	55844477
56.858	24.614	56.751	24.831	55844512	Ogres Novads	LV	55844512
56.705	27.83	56.464	28.143	55844530	Ciblas Novads	LV	55844530
56.325	26.292	56.123	26.643	55844549	Vąrkavas Novads	LV	55844549
57.301	25.077	57.116	25.443	55844556	Amatas Novads	LV	55844556
56.554	23.129	56.369	23.473	55844583	Tŗrvetes Novads	LV	55844583
56.845	24.518	56.676	24.937	55844585	Óeguma Novads	LV	55844585
56.712	24.0	56.508	24.402	55844621	Iecavas Novads	LV	55844621
56.657	21.246	56.517	21.527	55844641	Durbes Novads	LV	55844641
56.522	26.081	56.28	26.512	55844714	Lļvąnu Novads	LV	55844714
56.969	24.228	56.872	24.44	55844715	Stopińu Novads	LV	55844715
