top	left	bottom	right	slug	name	iso	woeid
32.82	12.86	32.262	13.253	2346121	Al 'Aziziyah	LY	2346121
29.8619501813	14.4081441589	26.0037877469	19.172194452	2346122	Al Jufrah	LY	2346122
26.749	19.175	19.508	25.0	2346123	Al Kufrah	LY	2346123
29.5675495471	9.77638553187	26.2174697938	15.8940482928	2346124	Ash Shati'	LY	2346124
26.693	11.486	21.913	19.246	2346125	Murzuq	LY	2346125
27.555	13.944	26.215	15.958	2346126	Sabha	LY	2346126
32.651	13.272	32.029	14.325	2346127	Tarhunah	LY	2346127
32.239	23.005	27.832	25.151	2346128	Tsubruq	LY	2346128
32.533	14.09	31.956	14.819	2346129	Zlitan	LY	2346129
31.117	18.504	26.728	25.0	2346130	Ajdabiya	LY	2346130
32.775	20.286	30.921	21.938	2346131	Al Fatih	LY	2346131
32.950366319	21.3318559103	31.0656234804	22.1124800962	2346132	Al Jabal al Akhdar	LY	2346132
32.776	13.795	32.388	14.455	2346133	Al Khums	LY	2346133
33.1812566189	11.448634881	32.3057286646	12.5731140481	2346134	An Nuqat al Khams	LY	2346134
27.888	9.387	23.88	14.144	2346135	Awbari	LY	2346135
32.865	12.031	32.29	13.102	2346136	Az Zawiyah	LY	2346136
32.545	19.924	30.845	21.315	2346137	Banghazi	LY	2346137
32.934	21.938	30.85	23.26	2346138	Darnah	LY	2346138
32.403	9.395	28.762	11.892	2346139	Ghadamis	LY	2346139
32.362	11.491	28.465	15.002	2346140	Gharyan	LY	2346140
32.446	14.742	31.99	15.369	2346141	Misratah	LY	2346141
32.137	13.384	29.354	16.441	2346142	Sawfajjin	LY	2346142
31.265	16.08	28.602	18.793	2346143	Surt	LY	2346143
32.913	13.081	32.285	13.924	2346144	Tsarrbuus	LY	2346144
32.343	11.772	31.054	12.732	2346145	Yafran	LY	2346145
