top	left	bottom	right	slug	name	iso	woeid
48.349	27.023	47.942	27.536	20069871	Edinet	MD	20069871
48.3260944684	27.9520202982	47.985081692	28.5434053889	20069872	Soroca	MD	20069872
47.8162031113	27.8484090509	47.709336249	28.0548563982	20069873	Balti	MD	20069873
47.4679556343	27.5886833026	47.0154251166	28.2258020364	20069874	Ungheni	MD	20069874
47.5990587429	28.5207194355	47.2025454782	29.1105025566	20069875	Orhei	MD	20069875
47.2902920595	29.1251786642	47.2308124867	29.1895674984	20069876	Dubasari	MD	20069876
46.863	29.395	46.781	29.499	20069877	Tighina	MD	20069877
47.1392418486	28.6618477716	46.9611131858	28.9820866224	20069878	Chisinau	MD	20069878
46.5025882028	28.2704504739	45.5021841502	28.9161991714	20069881	Gagauzia	MD	20069881
46.1063333196	28.0616776876	45.4620315621	28.5670731953	20069882	Cahul	MD	20069882
46.5579853383	28.704635858	46.1666397165	29.0646138848	55948179	Basarabeasca	MD	55948179
48.3999400904	26.6173214049	48.1213524444	27.3115425965	55948180	Briceni	MD	55948180
47.4404896106	28.0866890801	47.1571735703	28.5879504736	55948181	Calarasi	MD	55948181
46.4350987822	28.1085482113	46.0761801216	28.5129162942	55948182	Cantemir	MD	55948182
46.8241706408	29.1675016617	46.3573774275	29.578174269	55948183	Causeni	MD	55948183
46.7860851102	28.5734293966	46.4173996036	28.9853422384	55948184	Cimislia	MD	55948184
47.3331318219	28.7787398615	46.9763060573	29.2922485697	55948185	Criuleni	MD	55948185
48.3783910184	27.5099284201	48.0488504095	28.0164091325	55948186	Donduseni	MD	55948186
48.2090990257	27.6720890642	47.8480357932	28.1109770041	55948187	Drochia	MD	55948187
47.7736217314	27.42910648	47.367367459	28.017080926	55948188	Falesti	MD	55948188
48.0150540228	28.064778273	47.6879422067	28.5341036309	55948189	Floresti	MD	55948189
47.8673627798	27.2715450372	47.5779489205	27.8601396018	55948190	Glodeni	MD	55948190
47.09	28.084	46.604	28.742	55948191	Hincesti	MD	55948191
47.076	28.464	46.676	29.103	55948192	Ialoveni	MD	55948192
46.707	28.21	46.337	28.58	55948193	Leova	MD	55948193
47.2509146187	27.9691768735	46.9053801536	28.5045963889	55948194	Nisporeni	MD	55948194
48.4862397327	27.2516496107	48.2372885198	27.8852543471	55948195	Ocnita	MD	55948195
47.9804308129	28.9299451029	47.4656301944	29.2380399918	55948196	Rezina	MD	55948196
48.093	27.152	47.755	27.92	55948197	Riscani	MD	55948197
47.91	27.886	47.435	28.407	55948198	Singerei	MD	55948198
47.9828079288	28.427443475	47.7170360375	28.9630180192	55948199	Soldanesti	MD	55948199
46.7238150095	29.4167370944	46.3396524114	30.1310604181	55948200	Stefan-voda	MD	55948200
48.175	28.501	46.547	29.98	55948201	Stinga Nistrul	MD	55948201
47.3323825139	28.3269328141	47.0122728543	28.842508579	55948202	Straseni	MD	55948202
46.2212100288	28.3916833836	45.7355549179	29.0149011572	55948203	Taraclia	MD	55948203
47.755586656	28.1513362977	47.4121450868	28.7184851414	55948204	Telenesti	MD	55948204
47.1357795271	28.9081376485	46.7632441271	29.4761649922	55948205	Anenii Noi	MD	55948205
